"","Fra","Treatment","Replicate","Initial.Date","Final.Date","dBW.g","dAW.gd","MoteGen","Genotype","WB","Days","DayF","TimePoint","Nutrients","SampleID","TreatDay","NutDay"
"377","289","N+P","R1",2018-02-14,2018-02-23,-0.44,-0.1881,"G_48","Green","S",100,"100",6,"Nutrients","Ac_289_6","100_N+P","100_Nutrients"
"378","177","N","R1",2018-01-29,2018-02-14,1.52,1.4068,"G_48","Green","S",91,"91",5,"Nutrients","Ac_177_5","91_N","91_Nutrients"
"379","287","A","R1",2018-01-16,2018-01-29,3.8205,3.746,"G_48","Green","S",75,"75",4,"Ambient","Ac_287_4","0","0"
"381","290","A","R2",2017-11-16,2017-12-13,4.2611,4.315,"G_48","Green","S",28,"28",2,"Ambient","Ac_290_2","0","0"
"382","285","N","R2",2018-02-14,2018-02-23,-1.2721,-1.0246,"G_48","Green","S",100,"100",6,"Nutrients","Ac_285_6","100_N","100_Nutrients"
"384","284","A","R2",2018-01-29,2018-02-14,3.0012,2.8462,"G_48","Green","S",91,"91",5,"Ambient","Ac_284_5","0","0"
"385","286","N+P","R2",2017-12-15,2018-01-16,2.6216,2.6464,"G_48","Green","S",62,"62",3,"Nutrients","Ac_286_3","62_N+P","62_Nutrients"
"386","287","A","R1",2017-11-16,2017-12-13,2.8162,2.8801,"G_48","Green","S",28,"28",2,"Ambient","Ac_287_2","0","0"
"388","178","N+P","R1",2018-01-29,2018-02-14,2.4261,2.3233,"G_48","Green","S",91,"91",5,"Nutrients","Ac_178_5","91_N+P","91_Nutrients"
"389","155","N+P","R2",2017-08-30,2017-10-18,5.2515,5.2561,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_155_1",NA,"0"
"390","152","A","R2",2018-02-14,2018-02-23,1.9417,2.126,"G_31","Orange","R",100,"100",6,"Ambient","Ac_152_6","0","0"
"393","151","N+P","R1",2017-08-30,2017-10-18,2.8979,2.8903,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_151_1",NA,"0"
"394","247","N+P","R2",2017-08-30,2017-10-18,5.2033,5.2027,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_247_1",NA,"0"
"395","250","N+P","R1",2017-08-30,2017-10-18,5.8918,5.8779,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_250_1",NA,"0"
"396","159","N+P","R1",2017-08-30,2017-10-18,4.8265,4.8182,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_159_1",NA,"0"
"397","248","A","R1",2017-08-30,2017-10-18,4.0645,4.0467,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_248_1","0","0"
"398","299","N","R2",2018-01-29,2018-02-14,0.4412,0.2997,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_299_5","91_N","91_Nutrients"
"399","152","A","R2",2017-08-30,2017-10-18,4.3037,4.3001,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_152_1","0","0"
"400","154","N","R2",2018-01-29,2018-02-14,0.1549,0.014,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_154_5","91_N","91_Nutrients"
"401","157","A","R1",2017-08-30,2017-10-18,3.2921,3.2796,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_157_1","0","0"
"402","299","N","R2",2017-08-30,2017-10-18,2.1317,2.141,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_299_1",NA,"0"
"403","150","N","R1",2018-02-14,2018-02-23,-1.6664,-1.4323,"G_31","Orange","R",100,"100",6,"Nutrients","Ac_150_6","100_N","100_Nutrients"
"405","152","A","R2",2017-11-16,2017-12-13,4.8594,4.9141,"G_31","Orange","R",28,"28",2,"Ambient","Ac_152_2","0","0"
"406","150","N","R1",2017-11-16,2017-12-13,3.5738,3.6512,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_150_2","28_N","28_Nutrients"
"407","158","N","R1",2017-11-16,2017-12-13,2.8964,2.9725,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_158_2","28_N","28_Nutrients"
"410","149","A","R1",2017-08-30,2017-10-18,3.8446,3.8318,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_149_1","0","0"
"411","150","N","R1",2018-01-29,2018-02-14,0.252,0.141,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_150_5","91_N","91_Nutrients"
"412","249","N","R1",2018-01-29,2018-02-14,0.6641,0.5524,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_249_5","91_N","91_Nutrients"
"414","160","A","R2",2017-12-15,2018-01-16,3.7705,3.782,"G_31","Orange","R",62,"62",3,"Ambient","Ac_160_3","0","0"
"415","249","N","R1",2017-12-15,2018-01-16,2.3748,2.385,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_249_3","62_N","62_Nutrients"
"417","249","N","R1",2017-11-16,2017-12-13,3.7529,3.8306,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_249_2","28_N","28_Nutrients"
"419","158","N","R1",2017-08-30,2017-10-18,4.445,4.4342,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_158_1",NA,"0"
"420","150","N","R1",2017-08-30,2017-10-18,3.0523,3.042,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_150_1",NA,"0"
"422","154","N","R2",2017-08-30,2017-10-18,4.8534,4.852,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_154_1",NA,"0"
"423","246","N","R2",2017-08-30,2017-10-18,5.255,5.2484,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_246_1",NA,"0"
"424","157","A","R1",2018-02-14,2018-02-23,2.9316,3.1725,"G_31","Orange","R",100,"100",6,"Ambient","Ac_157_6","0","0"
"425","248","A","R1",2018-02-14,2018-02-23,2.1003,2.3394,"G_31","Orange","R",100,"100",6,"Ambient","Ac_248_6","0","0"
"426","158","N","R1",2017-12-15,2018-01-16,2.0229,2.033,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_158_3","62_N","62_Nutrients"
"427","154","N","R2",2018-01-16,2018-01-29,0.9339,0.951,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_154_4","75_N","75_Nutrients"
"428","152","A","R2",2018-01-29,2018-02-14,2.5512,2.3972,"G_31","Orange","R",91,"91",5,"Ambient","Ac_152_5","0","0"
"429","160","A","R2",2018-01-29,2018-02-14,3.0132,2.858,"G_31","Orange","R",91,"91",5,"Ambient","Ac_160_5","0","0"
"430","160","A","R2",2017-11-16,2017-12-13,5.1432,5.1983,"G_31","Orange","R",28,"28",2,"Ambient","Ac_160_2","0","0"
"431","160","A","R2",2018-02-14,2018-02-23,2.0988,2.2834,"G_31","Orange","R",100,"100",6,"Ambient","Ac_160_6","0","0"
"432","157","A","R1",2018-01-29,2018-02-14,3.5446,3.4326,"G_31","Orange","R",91,"91",5,"Ambient","Ac_157_5","0","0"
"434","248","A","R1",2018-01-29,2018-02-14,3.2271,3.1157,"G_31","Orange","R",91,"91",5,"Ambient","Ac_248_5","0","0"
"435","249","N","R1",2017-08-30,2017-10-18,4.7479,4.7319,"G_31","Orange","R",-28,"-28",1,"Nutrients","Ac_249_1",NA,"0"
"436","155","N+P","R2",2018-02-14,2018-02-23,-1.6507,-1.482,"G_31","Orange","R",100,"100",6,"Nutrients","Ac_155_6","100_N+P","100_Nutrients"
"437","159","N+P","R1",2017-11-16,2017-12-13,3.6447,3.6956,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_159_2","28_N+P","28_Nutrients"
"438","250","N+P","R1",2017-11-16,2017-12-13,4.678,4.7301,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_250_2","28_N+P","28_Nutrients"
"440","150","N","R1",2017-12-15,2018-01-16,2.8494,2.8598,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_150_3","62_N","62_Nutrients"
"441","155","N+P","R2",2017-11-16,2017-12-13,6.958,7.0219,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_155_2","28_N+P","28_Nutrients"
"442","250","N+P","R1",2018-01-29,2018-02-14,1.3031,1.202,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_250_5","91_N+P","91_Nutrients"
"443","247","N+P","R2",2017-11-16,2017-12-13,3.8637,3.9231,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_247_2","28_N+P","28_Nutrients"
"444","155","N+P","R2",2018-01-16,2018-01-29,3.2347,3.2571,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_155_4","75_N+P","75_Nutrients"
"445","247","N+P","R2",2018-01-16,2018-01-29,0.5449,0.5665,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_247_4","75_N+P","75_Nutrients"
"446","246","N","R2",2017-12-15,2018-01-16,0.2731,0.2849,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_246_3","62_N","62_Nutrients"
"447","160","A","R2",2017-08-30,2017-10-18,4.7624,4.7586,"G_31","Orange","R",-28,"-28",1,"Ambient","Ac_160_1","0","0"
"450","151","N+P","R1",2017-11-16,2017-12-13,3.0855,3.1356,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_151_2","28_N+P","28_Nutrients"
"453","150","N","R1",2018-01-16,2018-01-29,1.3982,1.3431,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_150_4","75_N","75_Nutrients"
"454","152","A","R2",2017-12-15,2018-01-16,3.3492,3.3606,"G_31","Orange","R",62,"62",3,"Ambient","Ac_152_3","0","0"
"455","249","N","R1",2018-01-16,2018-01-29,1.4294,1.3743,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_249_4","75_N","75_Nutrients"
"456","246","N","R2",2018-01-16,2018-01-29,0.0496,0.0665,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_246_4","75_N","75_Nutrients"
"458","246","N","R2",2017-11-16,2017-12-13,2.2037,2.2544,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_246_2","28_N","28_Nutrients"
"459","154","N","R2",2017-12-15,2018-01-16,0.7769,0.7888,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_154_3","62_N","62_Nutrients"
"460","151","N+P","R1",2018-01-16,2018-01-29,-0.1289,-0.1534,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_151_4","75_N+P","75_Nutrients"
"462","155","N+P","R2",2017-12-15,2018-01-16,3.3735,3.3988,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_155_3","62_N+P","62_Nutrients"
"463","149","A","R1",2017-11-16,2017-12-13,5.0585,5.126,"G_31","Orange","R",28,"28",2,"Ambient","Ac_149_2","0","0"
"465","248","A","R1",2017-11-16,2017-12-13,4.2498,4.316,"G_31","Orange","R",28,"28",2,"Ambient","Ac_248_2","0","0"
"466","159","N+P","R1",2017-12-15,2018-01-16,0.7797,0.7946,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_159_3","62_N+P","62_Nutrients"
"467","155","N+P","R2",2018-01-29,2018-02-14,2.1076,1.9991,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_155_5","91_N+P","91_Nutrients"
"468","247","N+P","R2",2018-01-29,2018-02-14,0.3631,0.2576,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_247_5","91_N+P","91_Nutrients"
"469","151","N+P","R1",2018-01-29,2018-02-14,0.6242,0.5241,"G_31","Orange","R",91,"91",5,"Nutrients","Ac_151_5","91_N+P","91_Nutrients"
"470","160","A","R2",2018-01-16,2018-01-29,3.5329,3.5253,"G_31","Orange","R",75,"75",4,"Ambient","Ac_160_4","0","0"
"471","299","N","R2",2017-12-15,2018-01-16,1.6361,1.6484,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_299_3","62_N","62_Nutrients"
"473","299","N","R2",2018-01-16,2018-01-29,-0.728,-0.7112,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_299_4","75_N","75_Nutrients"
"474","158","N","R1",2018-01-16,2018-01-29,1.6638,1.6085,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_158_4","75_N","75_Nutrients"
"475","299","N","R2",2017-11-16,2017-12-13,1.9249,1.9753,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_299_2","28_N","28_Nutrients"
"476","248","A","R1",2017-12-15,2018-01-16,4.9471,4.9841,"G_31","Orange","R",62,"62",3,"Ambient","Ac_248_3","0","0"
"477","157","A","R1",2017-11-16,2017-12-13,4.3435,4.4098,"G_31","Orange","R",28,"28",2,"Ambient","Ac_157_2","0","0"
"478","152","A","R2",2018-01-16,2018-01-29,3.58,3.5723,"G_31","Orange","R",75,"75",4,"Ambient","Ac_152_4","0","0"
"480","248","A","R1",2018-01-16,2018-01-29,4.4142,4.3391,"G_31","Orange","R",75,"75",4,"Ambient","Ac_248_4","0","0"
"481","250","N+P","R1",2018-02-14,2018-02-23,-0.4691,-0.2173,"G_31","Orange","R",100,"100",6,"Nutrients","Ac_250_6","100_N+P","100_Nutrients"
"482","154","N","R2",2017-11-16,2017-12-13,3.7839,3.8367,"G_31","Orange","R",28,"28",2,"Nutrients","Ac_154_2","28_N","28_Nutrients"
"483","250","N+P","R1",2017-12-15,2018-01-16,0.9037,0.9186,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_250_3","62_N+P","62_Nutrients"
"484","149","A","R1",2018-01-16,2018-01-29,4.9904,4.9148,"G_31","Orange","R",75,"75",4,"Ambient","Ac_149_4","0","0"
"485","151","N+P","R1",2017-12-15,2018-01-16,0.1949,0.2096,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_151_3","62_N+P","62_Nutrients"
"486","157","A","R1",2018-01-16,2018-01-29,4.2203,4.1454,"G_31","Orange","R",75,"75",4,"Ambient","Ac_157_4","0","0"
"487","247","N+P","R2",2017-12-15,2018-01-16,1.5707,1.5947,"G_31","Orange","R",62,"62",3,"Nutrients","Ac_247_3","62_N+P","62_Nutrients"
"488","157","A","R1",2017-12-15,2018-01-16,4.6615,4.6983,"G_31","Orange","R",62,"62",3,"Ambient","Ac_157_3","0","0"
"489","250","N+P","R1",2018-01-16,2018-01-29,1.0045,0.9796,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_250_4","75_N+P","75_Nutrients"
"491","149","A","R1",2017-12-15,2018-01-16,6.3369,6.3754,"G_31","Orange","R",62,"62",3,"Ambient","Ac_149_3","0","0"
"492","159","N+P","R1",2018-01-16,2018-01-29,0.6306,0.6059,"G_31","Orange","R",75,"75",4,"Nutrients","Ac_159_4","75_N+P","75_Nutrients"
"493","168","N+P","R2",2017-08-30,2017-10-18,3.9868,3.9916,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_168_1",NA,"0"
"494","166","A","R2",2017-11-16,2017-12-13,3.6481,3.7013,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_166_2","0","0"
"495","164","N","R1",2017-11-16,2017-12-13,1.5721,1.6457,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_164_2","28_N","28_Nutrients"
"496","170","N","R1",2017-11-16,2017-12-13,1.7878,1.8618,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_170_2","28_N","28_Nutrients"
"497","171","N+P","R1",2017-08-30,2017-10-18,3.9631,3.9556,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_171_1",NA,"0"
"498","175","N+P","R2",2017-08-30,2017-10-18,5.3393,5.3444,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_175_1",NA,"0"
"499","265","N","R2",2017-08-30,2017-10-18,2.259,2.2537,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_265_1",NA,"0"
"500","165","N+P","R1",2017-08-30,2017-10-18,4.5641,4.5495,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_165_1",NA,"0"
"503","263","N+P","R1",2017-08-30,2017-10-18,5.925,5.9116,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_263_1",NA,"0"
"504","162","A","R1",2018-01-29,2018-02-14,2.2296,2.1199,"G_07","Red and Orange","S",91,"91",5,"Ambient","Ac_162_5","0","0"
"507","167","N","R2",2017-08-30,2017-10-18,4.5931,4.5853,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_167_1",NA,"0"
"508","273","A","R1",2017-11-16,2017-12-13,2.8779,2.9419,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_273_2","0","0"
"509","166","A","R2",2017-08-30,2017-10-18,4.1349,4.1249,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_166_1","0","0"
"512","162","A","R1",2017-08-30,2017-10-18,4.2765,4.2634,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_162_1","0","0"
"515","173","A","R2",2017-08-30,2017-10-18,4.0576,4.0545,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_173_1","0","0"
"517","173","A","R2",2017-12-15,2018-01-16,2.8165,2.8277,"G_07","Red and Orange","S",62,"62",3,"Ambient","Ac_173_3","0","0"
"518","266","N+P","R2",2017-08-30,2017-10-18,3.4744,3.4744,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_266_1",NA,"0"
"519","162","A","R1",2018-02-14,2018-02-23,1.2376,1.4749,"G_07","Red and Orange","S",100,"100",6,"Ambient","Ac_162_6","0","0"
"520","169","A","R1",2018-02-14,2018-02-23,1.162,1.3991,"G_07","Red and Orange","S",100,"100",6,"Ambient","Ac_169_6","0","0"
"522","165","N+P","R1",2017-11-16,2017-12-13,3.1231,3.1733,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_165_2","28_N+P","28_Nutrients"
"523","164","N","R1",2017-12-15,2018-01-16,0.8565,0.8662,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_164_3","62_N","62_Nutrients"
"524","170","N","R1",2017-12-15,2018-01-16,1.3434,1.3533,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_170_3","62_N","62_Nutrients"
"525","174","N","R2",2017-08-30,2017-10-18,4.7852,4.7843,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_174_1",NA,"0"
"526","268","N","R1",2017-08-30,2017-10-18,3.2415,3.2269,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_268_1",NA,"0"
"527","175","N+P","R2",2018-01-16,2018-01-29,1.6396,1.6615,"G_07","Red and Orange","S",75,"75",4,"Nutrients","Ac_175_4","75_N+P","75_Nutrients"
"528","264","A","R2",2018-02-14,2018-02-23,0.9627,1.1455,"G_07","Red and Orange","S",100,"100",6,"Ambient","Ac_264_6","0","0"
"529","169","A","R1",2017-08-30,2017-10-18,4.0137,4.0013,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_169_1","0","0"
"530","168","N+P","R2",2018-01-16,2018-01-29,1.0029,1.0247,"G_07","Red and Orange","S",75,"75",4,"Nutrients","Ac_168_4","75_N+P","75_Nutrients"
"531","169","A","R1",2018-01-29,2018-02-14,1.8175,1.7085,"G_07","Red and Orange","S",91,"91",5,"Ambient","Ac_169_5","0","0"
"532","169","A","R1",2017-11-16,2017-12-13,2.8689,2.9329,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_169_2","0","0"
"533","261","A","R1",2017-11-16,2017-12-13,2.9952,3.0594,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_261_2","0","0"
"534","267","A","R1",2017-11-16,2017-12-13,2.2392,2.3022,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_267_2","0","0"
"535","171","N+P","R1",2017-11-16,2017-12-13,2.701,2.7507,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_171_2","28_N+P","28_Nutrients"
"536","263","N+P","R1",2017-11-16,2017-12-13,3.8068,3.8579,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_263_2","28_N+P","28_Nutrients"
"537","269","N+P","R1",2017-11-16,2017-12-13,1.6079,1.6562,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_269_2","28_N+P","28_Nutrients"
"538","262","N","R1",2017-12-15,2018-01-16,1.071,1.0808,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_262_3","62_N","62_Nutrients"
"539","268","N","R1",2017-12-15,2018-01-16,1.2617,1.2715,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_268_3","62_N","62_Nutrients"
"540","274","N","R1",2017-12-15,2018-01-16,1.7297,1.7397,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_274_3","62_N","62_Nutrients"
"541","173","A","R2",2018-02-14,2018-02-23,0.5736,0.7557,"G_07","Red and Orange","S",100,"100",6,"Ambient","Ac_173_6","0","0"
"542","272","N+P","R2",2017-08-30,2017-10-18,2.2892,2.2892,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_272_1",NA,"0"
"543","170","N","R1",2017-08-30,2017-10-18,3.9115,3.9014,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_170_1",NA,"0"
"544","162","A","R1",2017-11-16,2017-12-13,3.4608,3.5258,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_162_2","0","0"
"547","262","N","R1",2017-08-30,2017-10-18,2.0854,2.0716,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_262_1",NA,"0"
"548","166","A","R2",2017-12-15,2018-01-16,2.634,2.6452,"G_07","Red and Orange","S",62,"62",3,"Ambient","Ac_166_3","0","0"
"549","170","N","R1",2018-01-16,2018-01-29,0.9947,0.9398,"G_07","Red and Orange","S",75,"75",4,"Nutrients","Ac_170_4","75_N","75_Nutrients"
"550","168","N+P","R2",2017-11-16,2017-12-13,1.5994,1.6555,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_168_2","28_N+P","28_Nutrients"
"554","261","A","R1",2017-08-30,2017-10-18,3.6414,3.6239,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_261_1","0","0"
"556","164","N","R1",2017-08-30,2017-10-18,4.7624,4.7449,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_164_1",NA,"0"
"558","171","N+P","R1",2017-12-15,2018-01-16,0.7186,0.7334,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_171_3","62_N+P","62_Nutrients"
"559","263","N+P","R1",2017-12-15,2018-01-16,1.3234,1.3385,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_263_3","62_N+P","62_Nutrients"
"560","269","N+P","R1",2017-12-15,2018-01-16,0.5072,0.522,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_269_3","62_N+P","62_Nutrients"
"561","261","A","R1",2018-01-29,2018-02-14,1.9678,1.8586,"G_07","Red and Orange","S",91,"91",5,"Ambient","Ac_261_5","0","0"
"562","273","A","R1",2018-01-29,2018-02-14,1.8165,1.7075,"G_07","Red and Orange","S",91,"91",5,"Ambient","Ac_273_5","0","0"
"563","274","N","R1",2017-08-30,2017-10-18,6.593,6.5938,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_274_1",NA,"0"
"564","264","A","R2",2017-12-15,2018-01-16,2.5269,2.538,"G_07","Red and Orange","S",62,"62",3,"Ambient","Ac_264_3","0","0"
"565","270","A","R2",2017-12-15,2018-01-16,2.6203,2.6314,"G_07","Red and Orange","S",62,"62",3,"Ambient","Ac_270_3","0","0"
"566","173","A","R2",2017-11-16,2017-12-13,3.694,3.7472,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_173_2","0","0"
"567","264","A","R2",2017-11-16,2017-12-13,3.3968,3.4496,"G_07","Red and Orange","S",28,"28",2,"Ambient","Ac_264_2","0","0"
"568","269","N+P","R1",2017-08-30,2017-10-18,3.3762,3.3641,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_269_1",NA,"0"
"570","165","N+P","R1",2017-12-15,2018-01-16,1.2252,1.2403,"G_07","Red and Orange","S",62,"62",3,"Nutrients","Ac_165_3","62_N+P","62_Nutrients"
"571","274","N","R1",2017-11-16,2017-12-13,2.0897,2.1643,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_274_2","28_N","28_Nutrients"
"572","264","A","R2",2017-08-30,2017-10-18,3.6662,3.6583,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_264_1","0","0"
"573","270","A","R2",2017-08-30,2017-10-18,3.9301,3.9222,"G_07","Red and Orange","S",-28,"-28",1,"Ambient","Ac_270_1","0","0"
"574","271","N","R2",2017-11-16,2017-12-13,1.992,2.0425,"G_07","Red and Orange","S",28,"28",2,"Nutrients","Ac_271_2","28_N","28_Nutrients"
"575","264","A","R2",2018-01-16,2018-01-29,3.064,3.0564,"G_07","Red and Orange","S",75,"75",4,"Ambient","Ac_264_4","0","0"
"579","271","N","R2",2017-08-30,2017-10-18,3.4047,3.3991,"G_07","Red and Orange","S",-28,"-28",1,"Nutrients","Ac_271_1",NA,"0"
