"Treatment","DaysF","Community","emmean","SE","df","lower.CL","upper.CL",".group"
"A","76","B",0.521028842600033,0.0126133234331674,14.9228752852594,0.494132073268411,0.547925611931655,"                                                                                z0zAzBzCzDzEzFzGzHzIzJzK"
"A","76","D",0.449490385800016,0.00896910026279406,8.30135182178655,0.428937567310486,0.470043204289547,"           AB      IJ LMN PQR TUVW YZ  cdefg i  lmnopq     w y                                          "
"N","76","B",0.529509611633369,0.013007706117067,15.6316470362738,0.501881601496403,0.557137621770335,"                                                                                                zHzIzJzK"
"N","76","D",0.457971154833353,0.00880004101343125,8.00956881837683,0.437682442985245,0.47825986668146,"                   IJ LMN PQR TUVW YZabcdefghi klmnopqrs   wxyz1        z6z7z8z9                        "
"N+P","76","B",0.523278842600033,0.0126133234331674,14.9228752852613,0.496382073268412,0.550175611931655,"                                                                                    zB    zEzFzGzHzIzJzK"
"N+P","76","D",0.451740385800017,0.00896910026279401,8.30135182178713,0.431187567310487,0.472293204289547,"                   IJ LMN PQR TUVW YZ  cdefg i  lmnopq     w y                                          "
"A","84","B",0.518662764820082,0.0137246686608045,22.9513638121958,0.49026779503141,0.547057734608753,"                                                                        z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","84","D",0.482672432219114,0.00991444466948906,12.5424211947609,0.46117387186854,0.504170992569688,"                           QR   V   Zab   f hijk m  p rstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"N","84","B",0.520182036670013,0.0143205564720129,24.6945353771328,0.490669788575125,0.549694284764902,"                                                                            z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"N","84","D",0.484191704069045,0.0096735961441981,11.9048914593887,0.463096058135582,0.505287350002509,"                                V   Zab   f hijk m  p rstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"N+P","84","B",0.529861927998223,0.0137246686608044,22.9513638121965,0.501466958209551,0.558256897786894,"                                                                                    zB    zEzFzGzHzIzJzK"
"N+P","84","D",0.493871595397255,0.00991444466948902,12.5424211947612,0.472373035046681,0.515370155747829,"                                     ab     h jk      rstuv x z1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","89","B",0.492063381987188,0.0138650148764079,24.1267313879514,0.463455349990791,0.520671413983585,"                                         e g i k   opq s uvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","89","D",0.472122226496746,0.00993611832107368,12.6675389066268,0.450599138830394,0.493645314163097,"                       M  PQR  UV  YZabc ef hijklm op rstuvwxyz1z2z3    z6z7z8z9z0  zB  zD  zF  zHzI    "
"N","89","B",0.475514008585399,0.0148663265438121,29.2663764267854,0.44512097305397,0.505907044116828,"                             STUVWXYZabcdefghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzG        "
"N","89","D",0.455572853094956,0.00976891305299603,12.3528520993358,0.434355455857867,0.476790250332046,"                   IJ LMN PQR TUVW YZabcdefghi klmnopqrs   wxyz1        z6z7                            "
"N+P","89","B",0.502450045165329,0.0138650148764078,24.1267313879521,0.473842013168932,0.531058077161725,"                                                           wxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"N+P","89","D",0.482508889674886,0.00993611832107363,12.6675389066272,0.460985802008535,0.504031977341238,"                           QR   V   Zab   f hijk m  p rstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","92","B",0.492025574403957,0.014565528299596,30.0975396214388,0.462282839144628,0.521768309663286,"                                       cdefghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","92","D",0.517794752639987,0.0100264260232463,13.0902431014227,0.496149145948525,0.53944035933145,"                                                                    z4z5          zA  zC  zE  zG    zJzK"
"N","92","B",0.469568944393415,0.0151595169105004,34.1605568354439,0.438766432033652,0.500371456753178,"                     KLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzG        "
"N","92","D",0.495338122629445,0.0100424421071606,13.4073238812463,0.473709557036198,0.516966688222693,"                                              j         tuv     z2z3z4z5        z0zAzBzCzDzEzFzGzHzIzJzK"
"N+P","92","B",0.470326341263616,0.0145655282995959,30.0975396214396,0.440583606004287,0.500069076522946,"                     KLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz1z2z3z4z5z6z7z8z9z0zA  zCzD              "
"N+P","92","D",0.496095519499647,0.0100264260232462,13.0902431014231,0.474449912808185,0.517741126191109,"                                            h jk      rstuv x z1z2z3z4z5z6z7z8z9z0zAzBzCzDzEzFzGzHzIzJzK"
"A","96","B",0.432490689796858,0.0153198072868058,36.0999257534878,0.401423666491015,0.4635577131027,"    456 890ABCDEFGHIJKLMNOPQRSTUVWXYZabcd f h j lmn   r t                                               "
"A","96","D",0.429761807125096,0.0100984547320671,13.430015804428,0.408016218398786,0.451507395851406,"     56  90ABC EFG IJKL NO   ST  WX     d  g      n  q                                                  "
"N","96","B",0.434690773933791,0.0168776923434538,45.2942976602285,0.400703451702296,0.468678096165287,"    456 890ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuv                                             "
"N","96","D",0.431961891262029,0.00983876759381665,12.9836670346324,0.410703807769561,0.453219974754497,"      6   0AB  E G IJKLMNOP  STU WXY   cde g    l no q                                                  "
"N+P","96","B",0.448081236710786,0.0158410326958998,41.4857864270564,0.4161009949679,0.480061478453671,"             CDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz1z2z3z4z5                                "
"N+P","96","D",0.445352354039024,0.0101410625141175,13.6038114144719,0.423542360214566,0.467162347863481,"      6   0AB  E G IJKLMNOPQRSTUVWXYZ  cdefg i  lmnopq     w y                                          "
"A","99","B",0.423794486595997,0.0184970748736076,68.1414161307441,0.386885535326691,0.460703437865302,"   34567890ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuv                                             "
"A","99","D",0.430269191258645,0.0104336721310963,15.1126088176539,0.408044769572484,0.452493612944806,"     56  90ABC EFG IJKL NO   ST  WX     d  g      n  q                                                  "
"N","99","B",0.397182106790221,0.0220042908639397,96.1808997030788,0.353504983029315,0.440859230551127," 1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZab                                                                 "
"N","99","D",0.403656811452869,0.00971720775974495,12.7796013536906,0.382627198087831,0.424686424817908,"    456 890  CDEFGH                                                                                     "
"N+P","99","B",0.419157942982836,0.0215821251846733,113.878202504786,0.376403428722814,0.461912457242859," 1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz1z2z3                                    "
"N+P","99","D",0.425632647645485,0.0106902920362798,16.6319368589084,0.403040021154445,0.448225274136524,"     56  90ABC EFG IJKL NO   ST  WX     d  g      n  q                                                  "
"A","103","B",0.405794486595997,0.0184970748736076,68.1414161307444,0.368885535326691,0.442703437865302," 1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ                                                                   "
"A","103","D",0.409269191258645,0.0104336721310963,15.1126088176538,0.387044769572484,0.431493612944806,"    456 890  CDEFGH  K   O   S    X                                                                     "
"N","103","B",0.38825353536165,0.0220042908639397,96.1808997030794,0.344576411600744,0.431930659122556," 1234567890ABCDEFGHIJKLMNOPQR                                                                           "
"N","103","D",0.391728240024298,0.00971720775974495,12.7796013536906,0.37069862665926,0.412757853389336,"   345 789   CD F H                                                                                     "
"N+P","103","B",0.412521579346473,0.0215821251846733,113.878202504787,0.369767065086451,0.455276093606495," 1234567890ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuv                                             "
"N+P","103","D",0.415996284009121,0.0106902920362798,16.6319368589084,0.393403657518081,0.438588910500161,"    456 890ABCDEFGHIJKL NO   ST  WX                                                                     "
"A","106","B",0.377889434275197,0.0213876857214007,110.660476081685,0.335506874320278,0.420271994230117," 1234567890ABCDEFGHIJ                                                                                   "
"A","106","D",0.372019191258645,0.0104336721310963,15.1126088176538,0.349794769572484,0.394243612944806," 1234  78                                                                                               "
"N","106","B",0.3471057489545,0.024378618337307,139.625535370327,0.298906783974074,0.395304713934926," 1234567890AB                                                                                           "
"N","106","D",0.341235505937948,0.00996193931527865,13.8103277669144,0.319841708268127,0.362629303607769," 12                                                                                                     "
"N+P","106","B",0.358139254298401,0.0241055895825942,154.871806086037,0.310521072735479,0.405757435861323," 1234567890ABCDEFGHIJ                                                                                   "
"N+P","106","D",0.352269011281848,0.0106902920362797,16.6319368589084,0.329676384790809,0.374861637772888," 123   7                                                                                                "
"A","110","B",NA,NA,NA,NA,NA,""
"A","110","D",0.404352524591978,0.0104336721310963,15.1126088176537,0.382128102905818,0.426576946278139,"    456 890  CDEFGH  K   O   S    X                                                                     "
"N","110","B",NA,NA,NA,NA,NA,""
"N","110","D",0.341375539020293,0.0102709609662027,15.0343136111214,0.319487854966574,0.363263223074012," 12                                                                                                     "
"N+P","110","B",NA,NA,NA,NA,NA,""
"N+P","110","D",0.379814465827303,0.0106902920362797,16.6319368589084,0.357221839336263,0.402407092318343," 1234  78     D   H                                                                                     "
