Sample,Date,Fragment,Treatment,Replicate,YII,Genotype,Days,TotalSH,logSH,DaysF,Nutrients
Ac_101_T13,2018-01-30,101,N+P,R1,0.593,G_50,76,0.0087836888846,-2.05632305519071,76,Nutrients
Ac_102_T13,2018-01-30,102,A,R2,0.565,G_50,76,0.155506056019127,-0.808252693167848,76,Ambient
Ac_104_T13,2018-01-30,104,N+P,R2,0.583,G_50,76,0.044210800621939,-1.35447162030014,76,Nutrients
Ac_105_T13,2018-01-30,105,A,R1,0.571,G_50,76,0.045548352133462,-1.34152733048659,76,Ambient
Ac_106_T13,2018-01-30,106,N,R1,0.59,G_50,76,0.050346757281759,-1.29802849611314,76,Nutrients
Ac_107_T13,2018-01-30,107,N+P,R1,0.577,G_50,76,0.023188329007979,-1.63473054626331,76,Nutrients
Ac_108_T13,2018-01-30,108,A,R2,0.566,G_50,76,NA,NA,76,Ambient
Ac_110_T13,2018-01-30,110,N+P,R2,0.592,G_50,76,0.035073924367961,-1.45501563885191,76,Nutrients
Ac_116_T13,2018-01-30,116,A,R1,0.586,G_62,76,0.21839968352229,-0.660747995292495,76,Ambient
Ac_117_T13,2018-01-30,117,N,R1,0.612,G_62,76,0.234318484213026,-0.630193450732603,76,Nutrients
Ac_118_T13,2018-01-30,118,N+P,R1,0.622,G_62,76,0.242665794697125,-0.614991435951573,76,Nutrients
Ac_119_T13,2018-01-30,119,A,R2,0.591,G_62,76,0.355160408361289,-0.449575453334213,76,Ambient
Ac_120_T13,2018-01-30,120,N,R2,0.611,G_62,76,0.363126134451652,-0.439942493472966,76,Nutrients
Ac_121_T13,2018-01-30,121,N+P,R2,0.612,G_62,76,0.362371819431608,-0.440845583459958,76,Nutrients
Ac_122_T13,2018-01-30,122,A,R1,0.591,G_62,76,0.401380565872757,-0.396443659099522,76,Ambient
Ac_123_T13,2018-01-30,123,N,R1,0.603,G_62,76,0.299378530785363,-0.523779347265385,76,Nutrients
Ac_124_T13,2018-01-30,124,N+P,R1,0.594,G_62,76,0.219309873646747,-0.658941815318512,76,Nutrients
Ac_125_T13,2018-01-30,125,A,R2,0.572,G_62,76,0.377891158854564,-0.422633268722288,76,Ambient
Ac_126_T13,2018-01-30,126,N,R2,0.613,G_62,76,0.346888199996178,-0.459810473186789,76,Nutrients
Ac_128_T13,2018-01-30,128,N+P,R2,0.612,G_62,76,0.278653208602784,-0.554935951816607,76,Nutrients
Ac_129_T13,2018-01-30,129,A,R1,0.592,G_62,76,0.394211746512861,-0.404270438986785,76,Ambient
Ac_130_T13,2018-01-30,130,N,R1,0.606,G_62,76,0.360867886909357,-0.442651763433941,76,Nutrients
Ac_143_T13,2018-01-30,143,A,R1,0.582,G_08,76,0.055400494763796,-1.25648635671152,76,Ambient
Ac_144_T13,2018-01-30,144,N,R1,0.609,G_08,76,0.063045738672144,-1.20034426252018,76,Nutrients
Ac_145_T13,2018-01-30,145,N+P,R1,0.572,G_08,76,0.039762235242061,-1.40052920963673,76,Nutrients
Ac_149_T13,2018-01-30,149,A,R1,0.563,G_31,76,0.165745622246786,-0.78055793356676,76,Ambient
Ac_150_T13,2018-01-30,150,N,R1,0.613,G_31,76,0.140490323479436,-0.852353587532621,76,Nutrients
Ac_151_T13,2018-01-30,151,N+P,R1,0.559,G_31,76,0.051834004692493,-1.28538523629526,76,Nutrients
Ac_152_T13,2018-01-30,152,A,R2,0.578,G_31,76,0.175317591647073,-0.756174503917979,76,Ambient
Ac_154_T13,2018-01-30,154,N,R2,0.582,G_31,76,0.173865388829147,-0.759786863865946,76,Nutrients
Ac_155_T13,2018-01-30,155,N+P,R2,0.62,G_31,76,0.144389993649514,-0.840462902703894,76,Nutrients
Ac_157_T13,2018-01-30,157,A,R1,0.592,G_31,76,0.139665023090281,-0.854912342495765,76,Ambient
Ac_158_T13,2018-01-30,158,N,R1,0.63,G_31,76,0.113246837747666,-0.94597391618412,76,Nutrients
Ac_159_T13,2018-01-30,159,N+P,R1,0.588,G_31,76,0.053960318379345,-1.26792549654675,76,Nutrients
Ac_160_T13,2018-01-30,160,A,R2,0.565,G_31,76,0.159601118891987,-0.796964068330448,76,Ambient
Ac_162_T13,2018-01-30,162,A,R1,0.525,G_07,76,0.209140253444475,-0.679562370021495,76,Ambient
Ac_164_T13,2018-01-30,164,N,R1,0.59,G_07,76,0.030544208597399,-1.51507112298688,76,Nutrients
Ac_165_T13,2018-01-30,165,N+P,R1,0.568,G_07,76,0.072571287258502,-1.13923517340039,76,Nutrients
Ac_166_T13,2018-01-30,166,A,R2,0.479,G_07,76,0.368322815229547,-0.433771378561855,76,Ambient
Ac_168_T13,2018-01-30,168,N+P,R2,0.547,G_07,76,0.162616175009225,-0.788836258447521,76,Nutrients
Ac_169_T13,2018-01-30,169,A,R1,0.501,G_07,76,0.219461940363553,-0.658640785322849,76,Ambient
Ac_170_T13,2018-01-30,170,N,R1,0.578,G_07,76,0.16893529375178,-0.772279608686001,76,Nutrients
Ac_171_T13,2018-01-30,171,N+P,R1,0.553,G_07,76,0.068229652123322,-1.16602684301449,76,Nutrients
Ac_173_T13,2018-01-30,173,A,R2,0.481,G_07,76,0.335536744878686,-0.474259912978661,76,Ambient
Ac_174_T13,2018-01-30,174,N,R2,0.681,G_07,76,0.009729238936076,-2.01192113083028,76,Nutrients
Ac_175_T13,2018-01-30,175,N+P,R2,0.595,G_07,76,0.040696334587534,-1.39044470478199,76,Nutrients
Ac_176_T13,2018-01-30,176,A,R1,0.579,G_48,76,0.240655728579043,-0.61860379589954,76,Ambient
Ac_177_T13,2018-01-30,177,N,R1,0.615,G_48,76,0.191716002786886,-0.717341634477326,76,Nutrients
Ac_178_T13,2018-01-30,178,N+P,R1,0.636,G_48,76,0.152887532654383,-0.815627928061614,76,Nutrients
Ac_179_T13,2018-01-30,179,A,R2,0.603,G_48,76,0.263987709906732,-0.578416291478397,76,Ambient
Ac_180_T13,2018-01-30,180,N,R2,0.615,G_48,76,0.297413630067885,-0.526639132224193,76,Nutrients
Ac_181_T13,2018-01-30,181,N+P,R2,0.614,G_48,76,0.376714291368148,-0.423987903702776,76,Nutrients
Ac_182_T13,2018-01-30,182,A,R1,0.586,G_48,76,0.232538688802757,-0.633504780684906,76,Ambient
Ac_183_T13,2018-01-30,183,N,R1,0.615,G_48,76,0.299067422469478,-0.52423089225888,76,Nutrients
Ac_184_T13,2018-01-30,184,N+P,R1,0.618,G_48,76,0.114034531796386,-0.942963616227479,76,Nutrients
Ac_186_T13,2018-01-30,186,A,R2,0.591,G_48,76,0.298136035964386,-0.525585527239369,76,Ambient
Ac_187_T13,2018-01-30,187,N,R2,0.601,G_48,76,0.401798106609381,-0.395992114106026,76,Nutrients
Ac_188_T13,2018-01-30,188,N+P,R2,0.617,G_48,76,0.410098584963427,-0.387111729233938,76,Nutrients
Ac_189_T13,2018-01-30,189,A,R1,0.59,G_48,76,0.345568272403161,-0.461466138162941,76,Ambient
Ac_190_T13,2018-01-30,190,N,R1,0.621,G_48,76,0.213386775025801,-0.67083250014724,76,Nutrients
Ac_204_T13,2018-01-30,204,A,R1,0.58,G_50,76,0.050908228389566,-1.29321201618252,76,Ambient
Ac_216_T13,2018-01-30,216,N+P,R1,0.59,G_62,76,0.151989405743777,-0.818186683024758,76,Nutrients
Ac_217_T13,2018-01-30,217,A,R2,0.561,G_62,76,0.465399856428275,-0.332173755025261,76,Ambient
Ac_218_T13,2018-01-30,218,N,R2,0.614,G_62,76,0.5245101770705,-0.280246080773224,76,Nutrients
Ac_219_T13,2018-01-30,219,N+P,R2,0.608,G_62,76,0.282249449210364,-0.549366896896823,76,Nutrients
Ac_220_T13,2018-01-30,220,A,R1,0.552,G_62,76,0.349906815489626,-0.456047598240989,76,Ambient
Ac_221_T13,2018-01-30,221,N,R1,0.608,G_62,76,0.265271698721803,-0.576309081508751,76,Nutrients
Ac_222_T13,2018-01-30,222,N+P,R1,0.607,G_62,76,0.131628397145928,-0.880650407125035,76,Nutrients
Ac_223_T13,2018-01-30,223,A,R2,0.557,G_62,76,0.311983723816534,-0.505868062523379,76,Ambient
Ac_224_T13,2018-01-30,224,N,R2,0.61,G_62,76,0.529257851141152,-0.276332690829592,76,Nutrients
Ac_225_T13,2018-01-30,225,N+P,R2,0.565,G_62,76,0.522695509713728,-0.281751230751544,76,Nutrients
Ac_226_T13,2018-01-30,226,A,R1,0.581,G_62,76,0.294133430272416,-0.531455612154816,76,Ambient
Ac_227_T13,2018-01-30,227,N,R1,0.601,G_62,76,0.126924516617725,-0.896454481897394,76,Nutrients
Ac_228_T13,2018-01-30,228,N+P,R1,0.593,G_62,76,0.214127600243944,-0.66932735016892,76,Nutrients
Ac_229_T13,2018-01-30,229,N+P,R2,0.609,G_62,76,0.172664412862467,-0.762797163822588,76,Nutrients
Ac_230_T13,2018-01-30,230,N,R2,0.615,G_62,76,0.450170264928793,-0.346623194817133,76,Nutrients
Ac_231_T13,2018-01-30,231,A,R2,0.577,G_08,76,0.015959316443861,-1.79698571392619,76,Ambient
Ac_232_T13,2018-01-30,232,N,R2,0.585,G_08,76,0.088974928017854,-1.05073235467519,76,Nutrients
Ac_233_T13,2018-01-30,233,N+P,R2,0.579,G_08,76,0.147833247450938,-0.830227882851318,76,Nutrients
Ac_234_T13,2018-01-30,234,N,R2,0.601,G_08,76,0.040555535965992,-1.39194985476031,76,Nutrients
Ac_235_T13,2018-01-30,235,N+P,R2,0.603,G_08,76,0.157022441849457,-0.804038273228551,76,Nutrients
Ac_246_T13,2018-01-30,246,N,R2,0.59,G_31,76,0.117443817252945,-0.930169841411759,76,Nutrients
Ac_247_T13,2018-01-30,247,N+P,R2,0.608,G_31,76,0.138989005526519,-0.857019552465412,76,Nutrients
Ac_248_T13,2018-01-30,248,A,R1,0.595,G_31,76,0.146862978630319,-0.833087667810127,76,Ambient
Ac_249_T13,2018-01-30,249,N,R1,0.628,G_31,76,0.22949627953804,-0.639224350602522,76,Nutrients
Ac_250_T13,2018-01-30,250,N+P,R1,0.589,G_31,76,NA,NA,76,Nutrients
Ac_261_T13,2018-01-30,261,A,R1,0.531,G_07,76,0.280785953499047,-0.551624621864304,76,Ambient
Ac_262_T13,2018-01-30,262,N,R1,0.57,G_07,76,0.082214841870329,-1.08504977418088,76,Nutrients
Ac_263_T13,2018-01-30,263,N+P,R1,0.531,G_07,76,0.159159223509847,-0.798168188313104,76,Nutrients
Ac_264_T13,2018-01-30,264,A,R2,0.526,G_07,76,0.384363346688403,-0.41525803382852,76,Ambient
Ac_265_T13,2018-01-30,265,N,R2,0.584,G_07,76,0.186473518608773,-0.729382834303884,76,Nutrients
Ac_266_T13,2018-01-30,266,N+P,R2,0.59,G_07,76,0.027834976410858,-1.55540914240585,76,Nutrients
Ac_267_T13,2018-01-30,267,A,R1,0.523,G_07,76,0.360118262904026,-0.443554853420934,76,Ambient
Ac_268_T13,2018-01-30,268,N,R1,0.587,G_07,76,0.127984647917792,-0.892842121949426,76,Nutrients
Ac_269_T13,2018-01-30,269,N+P,R1,0.563,G_07,76,0.034447489883048,-1.46284241873918,76,Nutrients
Ac_270_T13,2018-01-30,270,A,R2,0.497,G_07,76,0.250094055371679,-0.601896631140187,76,Ambient
Ac_271_T13,2018-01-30,271,N,R2,0.596,G_07,76,0.09565887738836,-1.0192747201283,76,Nutrients
Ac_272_T13,2018-01-30,272,N+P,R2,0.586,G_07,76,0.132911944818673,-0.876435987185739,76,Nutrients
Ac_273_T13,2018-01-30,273,A,R1,0.467,G_07,76,0.147935753171273,-0.829926852855653,76,Ambient
Ac_274_T13,2018-01-30,274,N,R1,0.565,G_07,76,0.096457863847013,-1.01566236018033,76,Nutrients
Ac_276_T13,2018-01-30,276,N+P,R1,0.624,G_48,76,0.188749230875315,-0.724114809379765,76,Nutrients
Ac_277_T13,2018-01-30,277,A,R2,0.583,G_48,76,0.217568661398763,-0.662403660268648,76,Ambient
Ac_278_T13,2018-01-30,278,N,R2,0.619,G_48,76,0.374241815538128,-0.426847688661584,76,Nutrients
Ac_280_T13,2018-01-30,280,N+P,R2,0.615,G_48,76,0.513537904193643,-0.289427495640976,76,Nutrients
Ac_281_T13,2018-01-30,281,A,R1,0.577,G_48,76,0.359619378866788,-0.444156913412261,76,Ambient
Ac_282_T13,2018-01-30,282,N,R1,0.624,G_48,76,0.130176656547162,-0.885466887055659,76,Nutrients
Ac_283_T13,2018-01-30,283,N+P,R1,0.626,G_48,76,0.242077797340814,-0.616045040936396,76,Nutrients
Ac_284_T13,2018-01-30,284,A,R2,0.594,G_48,76,0.362748780872398,-0.440394038466463,76,Ambient
Ac_285_T13,2018-01-30,285,N,R2,0.607,G_48,76,0.19311641049209,-0.714180819522854,76,Nutrients
Ac_286_T13,2018-01-30,286,N+P,R2,0.612,G_48,76,0.341638547612676,-0.466433133091397,76,Nutrients
Ac_287_T13,2018-01-30,287,A,R1,0.569,G_48,76,0.383564916010866,-0.416161123815512,76,Ambient
Ac_288_T13,2018-01-30,288,N,R1,0.618,G_48,76,0.230293032904462,-0.637719200624202,76,Nutrients
Ac_289_T13,2018-01-30,289,N+P,R1,0.623,G_48,76,0.151148929966555,-0.82059492299007,76,Nutrients
Ac_290_T13,2018-01-30,290,A,R2,0.601,G_48,76,0.001171475640617,-2.93126673758808,76,Ambient
Ac_299_T13,2018-01-30,299,N,R2,0.563,G_31,76,0.219690238163775,-0.658189240329352,76,Nutrients
