Sample,TotalSH,D.Prp,Community
Ss_27-87_T9,0.076916179049264,1,D
Ss_20-4_T13,0.114377784958057,0,C1
Ss_20-13_T13,0.016864120594397,0,C1
Ss_20-19_T13,0.007771495431654,0,C1
Ss_22-2_T13,0.068412943509702,1,D
Ss_22-8_T13,0.081443037456799,1,D
Ss_22-16_T13,0.196846808162363,0.969470792229352,D
Ss_23-54_T13,0.048838129169618,1,D
Ss_23-57_T13,0.061853380065719,0.986454491036569,D
Ss_23-60_T13,0.107426137013131,1,D
Ss_27-98_T9,0.072621780784733,1,D
Ss_23-65_T13,0.086263061230087,1,D
Ss_24-2_T13,0.197450670381127,0,C3
Ss_24-6_T13,0.198686126306956,0,C3
Ss_28-14_T9,0.073474199845883,0.282137753188886,C1
Ss_28-19_T9,0.030109067646344,0.446823468224219,C1
Ss_28-23_T9,0.076650988460135,0.833340662231718,D
Ss_30-18_T9,0.082969940804455,0,C3
Ss_30-22_T9,0.118323533366513,0,C3
Ss_30-25_T9,0.048875402058515,0,C3
Ss_30-28_T9,0.103915069577661,0,C3
Ss_24-9_T13,0.555965315947325,0,C3
Ss_30-1_T13,0.098823667289136,0,C3
Ss_30-4_T13,0.206630002259237,0,C3
Ss_30-8_T13,0.184005337318561,0,C3
Ss_30-12_T13,0.333615230230245,0,C3
Ss_20-2_T13,0.055986023267982,0,C1
Ss_20-8_T13,0.031256635038676,0,C1
Ss_20-15_T13,0.029470316808774,0,C1
Ss_20-22_T13,0.080144464109801,0,C1
Ss_24-12_T13,1.15579561325397,0,C3
Ss_22-17_T13,0.220119900436402,1,D
Ss_22-24_T13,0.145147762091655,0.977290880646816,D
Ss_23-55_T13,0.171145009166408,0.972107880823725,D
Ss_27-3_T13,0.057110423829934,1,D
Ss_27-9_T13,0.029850067496944,1,D
Ss_27-19_T13,0.223098077406738,0.996859520680942,D
Ss_27-28_T13,0.060753116997948,0.815165759971663,D
Ss_28-2_T13,0.085605913346122,0.907346405929055,D
Ss_28-5_T13,0.034926092591087,0.600574371180361,D
Ss_28-8_T13,0.186053677263058,0.5570349364192,D
Ss_23-58_T13,0.49756739305223,1,D
Ss_27-21_T13,0.170651131154184,0.792182008881866,D
Ss_27-45_T13,0.209481556143394,0.989844785204385,D
Ss_28-3_T13,0.24271710644238,0.916424266262622,D
Ss_28-6_T13,0.109924680927857,0.504564149865162,D
Ss_28-9_T13,0.131924124198816,0.940482361694099,D
Ss_30-2_T13,0.509569746769207,0,C3
Ss_30-5_T13,0.311753526222348,0,C3
Ss_30-9_T13,0.305237893748463,0,C3
Ss_30-13_T13,0.339314718250166,0,C3
Ss_20-3_T13,0.061461809218795,0,C1
Ss_23-61_T13,0.356497509567758,1,D
Ss_20-11_T13,0.035245903440632,0,C1
Ss_20-17_T13,0.059108525427107,0,C1
Ss_20-23_T13,0.0525145318653,0,C1
Ss_23-66_T13,0.367570112011706,1,D
Ss_24-3_T13,0.539819191150283,0,C3
Ss_24-7_T13,0.193461389250562,0,C3
Ss_24-10_T13,0.531044299982922,0.004402973009353,C3
Ss_24-14_T13,0.255730485754072,0.002707335003861,C3
Ss_27-5_T13,0.243018648186602,1,D
Ss_27-12_T13,0.392186950978474,1,D
Ss_22-6_T13,0.396747283338165,1,D
Ss_24-11_T13,0.399347023406854,0.020918219165861,C3
Ss_24-15_T13,0.512595133021101,0,C3
Ss_27-6_T13,0.299229004011616,0.996945603872946,D
Ss_27-18_T13,0.350221866061081,0.97309967693155,D
Ss_27-27_T13,0.104383088711868,0.96557861192431,D
Ss_28-4_T13,0.045439831414142,0.164587611272244,C1
Ss_28-7_T13,0.121156158909474,0.418703719526208,C1
Ss_28-10_T13,0.088056593009746,0.410511595580044,C1
Ss_30-3_T13,0.308256523507531,0,C3
Ss_22-12_T13,0.251957194083074,1,D
Ss_30-7_T13,0.369609004107473,0,C3
Ss_30-10_T13,0.243361398969528,0,C3
Ss_30-14_T13,0.203459330446996,0,C3
Ss_22-18_T13,0.364896683112661,1,D
Ss_22-25_T13,0.160090689239429,1,D
Ss_23-56_T13,0.323603530642457,1,D
Ss_23-59_T13,0.353667474795917,1,D
Ss_23-63_T13,0.172585208451959,1,D
Ss_23-67_T13,0.330645942425579,0.992788036660453,D
Ss_24-5_T13,0.390876373078467,0.00999101315652,C3
Ss_20-26_T13,0.066241390275165,0,C1
Ss_23-72_T13,0.140837232737295,0.775521255301447,D
Ss_23-75_T13,0.099209053272105,0.97227631334093,D
Ss_23-79_T13,0.165612105163326,1,D
Ss_24-16_T13,0.126369360283019,0,C3
Ss_24-19_T13,0.195923782542285,0.001041401863416,C3
Ss_27-57_T13,0.261322557343536,0.961586415511027,D
Ss_27-73_T13,0.210752045236461,0.988351337642524,D
Ss_27-85_T13,0.148336772014028,0.99152731397889,D
Ss_27-94_T13,0.090614529359674,0.983936765199119,D
Ss_20-32_T13,0.063054958670559,0,C1
Ss_28-11_T13,0.057198522592716,0.681905823151436,D
Ss_28-15_T13,0.028962822242094,0.597685841335387,D
Ss_28-20_T13,0.010585019903306,0.082156671977748,C1
Ss_20-38_T13,0.048530761132871,0,C1
Ss_20-45_T13,0.023178817959558,0,C1
Ss_22-32_T13,0.222010254034835,1,D
Ss_22-35_T13,0.210293189783283,1,D
Ss_22-39_T13,0.289160596485905,1,D
Ss_23-68_T13,0.084491048071679,1,D
Ss_28-29_T13,0.003392751445357,0.211552837232094,C1
Ss_22-27_T13,0.029496021483074,1,D
Ss_22-33_T13,0.028500354268811,1,D
Ss_22-36_T13,0.020353371599388,1,D
Ss_22-41_T13,0.027604328275291,1,D
Ss_23-70_T13,0.038096566987336,1,D
Ss_23-73_T13,0.056511067774486,1,D
Ss_23-76_T13,0.051154220159311,0.951352275619124,D
Ss_23-80_T13,0.043297214864224,1,D
Ss_24-17_T13,0.052932861788339,0,C3
Ss_24-21_T13,0.141845001353568,0.008414231789296,C3
Ss_30-15_T13,0.053418081944894,0,C3
Ss_24-24_T13,0.063829706254851,0,C3
Ss_24-27_T13,0.102817569439804,0.003498573460628,C3
Ss_27-67_T13,0.098975285324018,0.9671359174312,D
Ss_30-20_T13,0.017060001565656,0,C3
Ss_30-23_T13,0.090755207516977,0,C3
Ss_30-26_T13,0.053485922705999,0,C3
Ss_20-29_T13,0.026322435481515,0,C1
Ss_20-33_T13,0.003040825414875,0,C1
Ss_20-39_T13,0.00889987526575,0,C1
Ss_27-75_T13,0.044323929697073,1,D
Ss_30-24_T13,0.277609698481885,0,C3
Ss_30-27_T13,0.139635414014288,0,C3
Ss_20-30_T13,0.02865858710761,0.001763768593044,C1
Ss_20-36_T13,0.011010468988013,0.614466573638085,D
Ss_20-41_T13,0.001662861185241,0,C1
Ss_20-48_T13,0.006692032273276,0,C1
Ss_22-31_T13,0.046884387870509,0.970934315740918,D
Ss_22-34_T13,0.036696359581866,0.98956046768294,D
Ss_22-42_T13,0.096584306868143,1,D
Ss_27-86_T13,0.042350652256956,0.983970247437066,D
Ss_23-71_T13,0.069552831818116,1,D
Ss_23-74_T13,0.060426607660846,0.977699563899596,D
Ss_23-78_T13,0.060414542797983,0.976842353354278,D
Ss_28-13_T13,0.019792994569893,0.91912898080218,D
Ss_28-18_T13,0.048427926864598,0.229512693264612,C1
Ss_28-21_T13,0.027562316287314,0.816231570681916,D
Ss_28-30_T13,0.020028226577893,0.023773403945359,C1
Ss_30-16_T13,0.179714068139806,0,C3
Ss_30-21_T13,0.126691713770157,0,C3
Ss_23-81_T13,0.017434546166925,0.994044633141945,D
Ss_28-14_T13,0.007056702129669,0.140789858964454,C1
Ss_28-19_T13,0.007040779773398,0.023349838498061,C1
Ss_28-23_T13,0.016348146458099,0.757149228642182,D
Ss_30-18_T13,0.015812457267147,0,C3
Ss_30-22_T13,0.018760285184589,0,C3
Ss_30-25_T13,0.006687433228444,0,C3
Ss_20-1_T14,0.01173520369949,0,C1
Ss_22-8_T14,0.004498471298783,1,D
Ss_23-54_T14,0.014252213759541,0.979627556747568,D
Ss_24-18_T13,0.03860600249871,0,C3
Ss_27-19_T14,0.007082300310497,0.819971676824738,D
Ss_28-8_T14,0.009011001209616,0.033212224938831,C1
Ss_24-22_T13,0.032311636446776,0.02380276989784,C3
Ss_24-25_T13,0.023453437883096,0.01793302840406,C3
Ss_24-28_T13,0.015629268338907,0.184068440763256,C3
Ss_27-68_T13,0.010976685828191,1,D
Ss_27-77_T13,0.012571688763783,1,D
Ss_27-87_T13,0.011540221870782,1,D
Ss_27-98_T13,0.010967786335437,1,D
Ss_28-18_T9,0.00922015787249,0.575696549756982,D
Ss_30-2_T14,0.075173106584247,0,C3
Ss_20-23_T14,0.031069587970036,0,C1
Ss_22-6_T14,0.024759655270726,1,D
Ss_24-11_T14,0.014403366598957,0.015271425005557,C3
Ss_27-27_T14,0.004845919730592,0.917395333959117,D
Ss_28-4_T14,0.010443902264227,0.044569508600071,C1
Ss_30-10_T14,0.04904174984537,0,C3
Ss_20-45_T14,0.014658186324831,0,C1
Ss_22-39_T14,0.0098202342264,0.986125568237299,D
Ss_24-25_T9,0.017831248216578,0.01951299288245,C3
Ss_23-79_T14,0.003399965516966,0.978667974963086,D
Ss_24-23_T14,0.020522464091797,0.000549748232406,C3
Ss_27-94_T14,0.004795174812413,0.967603661448972,D
Ss_30-1_T14,0.050886726235703,0,C3
Ss_20-2_T14,0.070929453819789,0,C1
Ss_22-24_T14,0.014129083800731,1,D
Ss_23-55_T14,0.039489010963805,1,D
Ss_24-14_T14,0.072124134366925,0.005932856301398,C3
Ss_27-12_T14,0.011821290729674,1,D
Ss_28-20_T14,0.02365579286445,0,C1
Ss_20-36_T14,0.003118706021984,0.987106404068297,D
Ss_22-42_T14,0.013441268725879,1,D
Ss_23-71_T14,0.008863854690349,1,D
Ss_24-28_T14,0.051891201673194,0.072323531012543,C3
Ss_30-25_T14,0.03679245856498,0,C3
Ss_30-23_T14,0.045189946305547,0,C3
Ss_20-39_T14,0.090245448267329,0,C1
Ss_22-36_T14,0.021330766846551,0.176858387902513,C1
Ss_23-70_T14,0.008723894892765,0.991963350096366,D
Ss_24-27_T14,0.108484655141269,0,C3
Ss_27-97_T14,0.012242210923214,0.986041059198988,D
Ss_28-30_T14,0.029560224684496,0.005062016206981,C1
Ss_30-24_T14,0.092719255654462,0,C3
Ss_20-4_T19,0.001745102422363,0,C1
Ss_24-2_T19,0.01404362314938,0,C3
Ss_24-6_T19,0.015988733371029,0,C3
Ss_24-9_T19,0.021761785062529,0,C3
Ss_27-3_T19,0.005133596336605,0.967704939348837,D
Ss_27-9_T19,0.002886257208261,1,D
Ss_27-28_T19,0.004876106600218,0.83155845801816,D
Ss_28-2_T19,0.003792671191758,0.877356085712124,D
Ss_28-5_T19,0.001532235652261,0.300552264882756,C1
Ss_30-8_T19,0.001090246365393,0,C3
Ss_30-12_T19,0.003244693792236,0,C3
Ss_20-8_T19,0.002185602655475,0,C1
Ss_20-19_T19,0.003186940219483,0,C1
Ss_22-2_T19,0.00642182641651,1,D
Ss_22-16_T19,0.011291386090166,1,D
Ss_22-21_T19,0.004525020810057,1,D
Ss_23-57_T19,0.010000265805821,1,D
Ss_23-60_T19,0.008674276063949,1,D
Ss_23-65_T19,0.022703443301373,1,D
Ss_20-22_T19,0.005406209452418,0,C1
Ss_24-10_T19,0.058174876497986,0.006624829131034,C3
Ss_27-5_T19,0.014572413053034,1,D
Ss_27-21_T19,0.009190914822316,0.599337976709129,D
Ss_27-45_T19,0.017040471237253,0.976699687857373,D
Ss_28-3_T19,0.006512647104728,0.611913412693344,D
Ss_28-9_T19,0.011739795354363,0.892238790606167,D
Ss_30-5_T19,0.002699010579681,0,C3
Ss_30-13_T19,0.00582984447191,0,C3
Ss_20-3_T19,0.004637271753528,0,C1
Ss_20-11_T19,0.005526803553317,0,C1
Ss_22-3_T19,0.012181316626042,1,D
Ss_20-17_T19,0.003155583713911,0,C1
Ss_22-12_T19,0.006794251212682,0.979226512944075,D
Ss_22-18_T19,0.007879416521405,0.976071119430392,D
Ss_22-11_T19,0.016780551513005,1,D
Ss_22-17_T19,0.01000025919545,1,D
Ss_23-58_T19,0.018856640147456,1,D
Ss_23-61_T19,0.025510793918111,1,D
Ss_23-66_T19,0.031901520605354,1,D
Ss_30-28_T19,0.006453543353577,0,C3
Ss_24-7_T19,0.05231954586809,0.003638074066199,C3
Ss_24-17_T19,0.008187942336328,1,D
Ss_30-22_T19,0.003728472576964,0,C3
Ss_22-36_T9,0.004310052334083,1,D
Ss_22-25_T19,0.025463771085076,1,D
Ss_28-7_T19,0.002644384970436,0.257490876450079,C1
Ss_28-10_T19,0.004750036911271,0.134071357911623,C1
Ss_30-3_T19,0.001191500346927,0,C3
Ss_30-7_T19,0.001024212978328,0,C3
Ss_30-14_T19,0.003452446364702,0,C3
Ss_20-26_T19,0.001337895240544,0,C1
Ss_20-32_T19,0.001643095942518,0,C1
Ss_20-38_T19,0.001130340337617,0,C1
Ss_22-32_T19,0.004842690551614,0.985320609959823,D
Ss_23-56_T19,0.012372930849838,1,D
Ss_22-35_T19,0.007453174696858,1,D
Ss_23-72_T19,0.003114639828086,0.98134115892825,D
Ss_23-75_T19,0.007100062244182,0.972156716486676,D
Ss_23-63_T19,0.024700706012794,1,D
Ss_23-67_T19,0.021415550482016,1,D
Ss_24-5_T19,0.007436637517689,0.014781245625826,C3
Ss_24-15_T19,0.023542942337972,0,C3
Ss_27-6_T19,0.005741970417345,0.991103108688939,D
Ss_27-18_T19,0.016258943773051,0.95569131564372,D
Ss_27-46_T19,0.005807063013617,1,D
Ss_24-16_T19,0.009584059588617,0.010780613710447,C3
Ss_30-20_T19,0.003308102672126,0,C3
Ss_30-26_T19,0.00203134940536,0,C3
Ss_20-29_T19,0.008022349781219,0,C1
Ss_20-33_T19,0.004568037395993,0,C1
Ss_20-46_T19,0.010989159417438,0,C1
Ss_22-33_T19,0.015590861803419,0.973118566181838,D
Ss_22-41_T19,0.016962976980869,1,D
Ss_23-73_T19,0.067481570587633,0.975832119438112,D
Ss_23-76_T19,0.012350567207736,0.98201413237617,D
Ss_24-19_T19,0.011351729347533,0.012116130466995,C3
Ss_23-80_T19,0.028851825779849,0.005319457793729,C1
Ss_30-9_T19,0.00206396449069,0,C3
Ss_24-21_T19,0.003968757096964,0.347199195723264,C3
Ss_27-57_T19,0.004785671441173,0.966706743361499,D
Ss_27-73_T19,0.00757369517076,0.993652833069694,D
Ss_27-85_T19,0.009622938275531,0.986396301352543,D
Ss_28-11_T19,0.004927105127525,0.489538787552939,C1
Ss_28-15_T19,0.007986720573805,0.402949937080686,C1
Ss_28-29_T19,0.004036945689578,0.097694256500888,C1
Ss_30-15_T19,0.001037013253233,0,C3
Ss_24-24_T19,0.059130566651991,0,C3
Ss_30-27_T19,0.00392699627575,0,C3
Ss_20-30_T19,0.0057334057369,0,C1
Ss_20-41_T19,0.002360808573776,0,C1
Ss_20-48_T19,0.00340279936525,0,C1
Ss_22-31_T19,0.008268347995145,1,D
Ss_22-34_T19,0.015866829932431,1,D
Ss_23-74_T19,0.011807522131494,1,D
Ss_27-67_T19,0.061106604836523,1,D
Ss_24-22_T19,0.027214313593469,0.002221814594019,C3
Ss_24-25_T19,0.022884980796954,0,C3
Ss_27-75_T19,0.020446202228721,1,D
Ss_27-86_T19,0.019339668711529,1,D
Ss_28-13_T19,0.013878343958736,0.738105782846021,D
Ss_28-18_T19,0.00827161258394,0.009831255911608,C1
Ss_28-21_T19,0.004628646359124,0.411523274143646,C1
Ss_30-16_T19,0.003478720314517,0,C3
Ss_30-21_T19,0.006132618161357,0,C3
Ss_20-4_T22,0.002702781325375,0,C1
Ss_24-2_T22,5.75E-05,0,C3
Ss_27-3_T22,0.011358935193468,1,D
Ss_27-9_T22,0.005508325926071,1,D
Ss_27-28_T22,0.006949100899486,0.901227061207316,D
Ss_28-2_T22,0.009581141799118,0.929156612654542,D
Ss_28-5_T22,0.014642763823258,0.67213282640432,D
Ss_30-4_T22,0.000204184631658,0,C3
Ss_20-13_T22,0.003984773339986,0,C1
Ss_30-12_T22,0.000265319994077,0,C3
Ss_20-8_T22,0.002161882158854,0,C1
Ss_20-15_T22,0.001442508756517,0,C1
Ss_20-19_T22,0.005709348216542,0,C1
Ss_22-2_T22,0.01324702556449,1,D
Ss_22-16_T22,0.011825112543331,1,D
Ss_22-21_T22,0.016767212467521,1,D
Ss_23-57_T22,0.019793131165233,1,D
Ss_23-60_T22,0.012800290715565,1,D
Ss_23-65_T22,0.022967771939534,1,D
Ss_20-22_T22,0.000844226712148,0,C1
Ss_24-10_T22,0.000496675794396,0.830770248706241,D
Ss_27-5_T22,0.004960746757119,0.987084410177638,D
Ss_27-21_T22,0.004718327296435,0.936005557279169,D
Ss_27-45_T22,0.03484072812017,1,D
Ss_28-9_T22,0.00265583596387,0.94946499820466,D
Ss_20-11_T22,0.000435937450339,0,C1
Ss_20-17_T22,0.000492667015391,0,C1
Ss_22-12_T22,0.003891525175591,0.971873657259129,D
Ss_22-11_T22,0.01096237816221,0.978061249170206,D
Ss_22-17_T22,0.002436250560758,1,D
Ss_23-58_T22,0.016692450174104,0.984647053723795,D
Ss_23-61_T22,0.010090854669687,1,D
Ss_23-66_T22,0.005098568356714,1,D
Ss_24-3_T22,0.000121274623532,0.80023753961271,D
Ss_24-7_T22,0.000240725661982,0.905317975230648,D
Ss_22-18_T22,0.000896940817057,0,C1
