,Sample.Name,File.Name,C.CT.mean,D.CT.mean,Ssid.CT.mean,C.CT.sd,D.CT.sd,Ssid.CT.sd,C.reps,D.reps,Ssid.reps,C.Ssid,D.Ssid,Sample.Plate,TotalSH,logC.SH,logD.SH,logSH,Treatment,Replicate,Colony,Core,Date,Sample,RanA,RanB
255,Sample 1,Plate22.csv,31.7561502457,29.1408605576,16.645740509,0.2744886002,0.2392875523,0.1910081688,2,2,2,6.82911396530646E-05,0.0004184514,Sample 1_Plate22.csv,0.0004867425,-4.1656356396,-3.3783549962,-3.3127007146,NP,R2,20,20-36,2017-12-14,20-36_2017-12-14,2,2
256,Sample 10,Plate22.csv,26.7680044174,32.9002704621,16.5624113083,0.0281460026,0.7938793872,0.0574370508,2,2,2,0.0020457911,2.91652207308287E-05,Sample 10_Plate22.csv,0.0020749563,-2.6891387115,-4.5351347324,-2.6829910376,N,R2,24,24-17,2017-12-14,24-17_2017-12-14,2,2
257,Sample 11,Plate22.csv,28.5631113052,NA,18.1270847321,0.1000991024,NA,0.3578692279,2,0,2,0.0017437889,0,Sample 11_Plate22.csv,0.0017437889,-2.7585060962,NA,-2.7585060962,N,R2,24,24-17,2018-02-01,24-17_2018-02-01,2,2
259,Sample 13,Plate22.csv,35.0758419037,28.1603698731,16.6651391983,0.9774697106,0.3142657843,0.1628378895,2,2,2,6.932297341361E-06,0.0008368386,Sample 13_Plate22.csv,0.0008437709,-5.1591228177,-3.0773583023,-3.0737754645,Control,R2,27,27-57,2017-12-14,27-57_2017-12-14,2,2
260,Sample 14,Plate22.csv,35.3524475098,27.4639797211,17.6561708451,1.8659684357,0.4743968346,0.0013365609,2,2,2,1.13747235447715E-05,0.0026952948,Sample 14_Plate22.csv,0.0027066695,-4.9440591498,-2.5693937256,-2.5675647661,Control,R2,27,27-57,2018-02-01,27-57_2018-02-01,2,2
261,Sample 15,Plate22.csv,34.3918437958,29.5555696488,17.8691902161,0.3272834285,0.2267689267,0.1804991049,2,2,2,2.56588154088181E-05,0.0007329936,Sample 15_Plate22.csv,0.0007586524,-4.5907633976,-3.1348998121,-3.1199571501,Control,R2,27,27-57,2018-02-23,27-57_2018-02-23,2,2
262,Sample 16,Plate22.csv,31.9614648819,28.1953907013,17.7963800431,0.8309645678,0.706130323,0.062775202,2,2,2,0.000131503,0.001789109,Sample 16_Plate22.csv,0.001920612,-3.8810644897,-2.7473631955,-2.7165603685,N,R1,28,28-3,2017-12-14,28-3_2017-12-14,2,2
263,Sample 17,Plate22.csv,32.8810157776,28.9968862534,20.2434511185,0.088167161,0.4367640822,0.0912947943,2,2,2,0.0003791097,0.0055976327,Sample 17_Plate22.csv,0.0059767424,-3.4212350967,-2.2519956029,-2.2235354624,N,R1,28,28-3,2018-02-01,28-3_2018-02-01,2,2
264,Sample 18,Plate22.csv,30.2230625153,29.2351341248,17.2012004853,0.6110578223,0.6451718187,0.2203261909,2,2,2,0.0002904557,0.0005760709,Sample 18_Plate22.csv,0.0008665266,-3.5369201326,-3.2395240535,-3.0622181073,N,R1,28,28-3,2018-02-23,28-3_2018-02-23,2,2
265,Sample 2,Plate22.csv,31.0878143311,29.7008142472,16.811375618,0.1724069101,0.0843328093,0.0008618188,2,2,2,0.0001217348,0.0003183782,Sample 2_Plate22.csv,0.0004401129,-3.914585346,-3.4970567168,-3.3564358576,NP,R2,20,20-36,2018-02-01,20-36_2018-02-01,2,2
266,Sample 20,Plate22.csv,26.1626939774,NA,15.4978966713,0.5555709906,NA,0.1313477875,2,0,2,0.0014880826,0,Sample 20_Plate22.csv,0.0014880826,-2.8273729489,NA,-2.8273729489,NP,R2,30,30-22,2017-12-14,30-22_2017-12-14,2,2
267,Sample 21,Plate22.csv,28.9937753678,NA,18.8350410462,0.9117975029,NA,0.138152649,2,0,2,0.0021133294,0,Sample 21_Plate22.csv,0.0021133294,-2.6750328109,NA,-2.6750328109,NP,R2,30,30-22,2018-02-01,30-22_2018-02-01,2,2
269,Sample 3,Plate22.csv,29.3998594284,30.8634748459,19.101565361,0.4679675858,0.2441509615,0.2892406715,2,2,2,0.0019184722,0.0006956061,Sample 3_Plate22.csv,0.0026140783,-2.7170444806,-3.1576366234,-2.5826814028,NP,R2,20,20-36,2018-02-05,20-36_2018-02-05,2,2
271,Sample 5,Plate22.csv,NA,29.4578580856,18.365363121,NA,0.0820238363,0.0489456409,0,2,2,0,0.001106311,Sample 5_Plate22.csv,0.001106311,NA,-2.9561227732,-2.9561227732,N,R2,22,22-36,2018-02-01,22-36_2018-02-01,2,2
272,Sample 6,Plate22.csv,36.969581604,32.788526535,20.5432538987,NA,0.5897996263,0.0895091166,1,2,2,0,0.0004975727,Sample 6_Plate22.csv,0.0004975727,NA,-3.3031434308,-3.3031434308,N,R2,22,22-36,2018-02-05,22-36_2018-02-05,2,2
273,Sample 7,Plate22.csv,NA,27.6561136246,18.6090564728,NA,0.6096808005,0.1390562774,0,2,2,0,0.0045668354,Sample 7_Plate22.csv,0.0045668354,NA,-2.3403846373,-2.3403846373,Control,R1,23,23-54,2017-12-14,23-54_2017-12-14,2,2
274,Sample 8,Plate22.csv,NA,28.0888633728,17.5103664398,NA,0.5567645893,0.0615141684,0,2,2,0,0.0015798143,Sample 8_Plate22.csv,0.0015798143,NA,-2.801393948,-2.801393948,Control,R1,23,23-54,2018-02-01,23-54_2018-02-01,2,2
275,Sample 9,Plate22.csv,36.1377887726,29.679766655,19.6945905686,0.6962011999,0.5837561054,0.1540551606,2,2,2,2.71115940957442E-05,0.0023834905,Sample 9_Plate22.csv,0.0024106021,-4.5668449462,-2.6227865762,-2.6178744719,Control,R1,23,23-54,2018-02-05,23-54_2018-02-05,2,2
