Spp,Genotype,Fragment,Treatment,Rep,Date,Chl_a,Sym.cm2,Sample,Days,Chl.Sym,TotalSH,logSH,D.Prp,Community
O.fav,O.fav_6,O.fav_6-6,A,R1,2018-02-05,4.67,1.99,Of_6-6_T14,82,2.34673366834171,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-14,A,R1,2018-02-05,3.99,1.48,Of_20-14_T14,82,2.69594594594595,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-34,A,R1,2018-02-05,3.28,1.95,Of_31-34_T14,82,1.68205128205128,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-36,A,R1,2018-02-05,3.26,1.58,Of_34-36_T14,82,2.06329113924051,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-81,N,R1,2018-02-05,9.14,2.96,Of_6-81_T14,82,3.08783783783784,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-28,N,R1,2018-02-05,5.62,1.39,Of_20-28_T14,82,4.0431654676259,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-30,N,R1,2018-02-05,3.66,1.21,Of_31-30_T14,82,3.02479338842975,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-38,N,R1,2018-02-05,4.69,2.9,Of_34-38_T14,82,1.61724137931035,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-86,N+P,R1,2018-02-05,6.97,2.34,Of_6-86_T14,82,2.97863247863248,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-40,N+P,R1,2018-02-05,7.14,1.65,Of_20-40_T14,82,4.32727272727273,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-40,N+P,R1,2018-02-05,5.35,1.96,Of_31-40_T14,82,2.72959183673469,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-4,N+P,R1,2018-02-05,4.64,1.66,Of_34-4_T14,82,2.79518072289157,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-40,A,R2,2018-02-05,4.3,1.77,Of_6-40_T14,82,2.42937853107345,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-21,A,R2,2018-02-05,5.53,1.32,Of_20-21_T14,82,4.18939393939394,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-24,A,R2,2018-02-05,3.03,1.39,Of_31-24_T14,82,2.17985611510791,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-11,A,R2,2018-02-05,2.47,0.99,Of_34-11_T14,82,2.4949494949495,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-118,N,R2,2018-02-05,5.52,2.56,Of_6-118_T14,82,2.15625,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-45,N,R2,2018-02-05,6.62,1.28,Of_20-45_T14,82,5.171875,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-8,N,R2,2018-02-05,5.84,1.7,Of_31-8_T14,82,3.43529411764706,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-10,N,R2,2018-02-05,4.45,1.72,Of_34-10_T14,82,2.58720930232558,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-82,N+P,R2,2018-02-05,7.59,3.1,Of_6-82_T14,82,2.44838709677419,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-43,N+P,R2,2018-02-05,8.26,2.15,Of_20-43_T14,82,3.84186046511628,NA,NA,NA,D
O.fav,O.fav_31,O.fav_31-2,N+P,R2,2018-02-05,3.71,1.74,Of_31-2_T14,82,2.13218390804598,NA,NA,NA,B
O.fav,O.fav_34,O.fav_34-7,N+P,R2,2018-02-05,3.55,1.45,Of_34-7_T14,82,2.44827586206897,NA,NA,NA,D
O.fav,O.fav_6,O.fav_6-112,A,R1,2018-03-08,2.82,0.9,Of_6-112_T22,113,3.13333333333333,0.027766316684369,-1.55648172737069,1,D
O.fav,O.fav_20,O.fav_20-19,A,R1,2018-03-08,3.35,0.79,Of_20-19_T22,113,4.24050632911392,0.460705411515465,-0.33657668642867,1,D
O.fav,O.fav_34,O.fav_34-20,A,R1,2018-03-08,1.77,0.71,Of_34-20_T22,113,2.49295774647887,0.119233074467191,-0.923603257463558,0.993975799040492,D
O.fav,O.fav_6,O.fav_6-96,N,R1,2018-03-08,2.12,0.8,Of_6-96_T22,113,2.65,0.049860072810482,-1.30224709163314,1,D
O.fav,O.fav_20,O.fav_20-2,N,R1,2018-03-08,1.77,0.64,Of_20-2_T22,113,2.765625,0.174349405652576,-0.758579528771208,1,D
O.fav,O.fav_34,O.fav_34-44,N,R1,2018-03-08,2.5,0.55,Of_34-44_T22,113,4.54545454545454,0.091867283750017,-1.03683912426716,1,D
O.fav,O.fav_6,O.fav_6-115,N+P,R1,2018-03-08,4.29,1.23,Of_6-115_T22,113,3.48780487804878,0.119822835454423,-0.921460407599605,1,D
O.fav,O.fav_34,O.fav_34-22,N+P,R1,2018-03-08,1.59,0.25,Of_34-22_T22,113,6.36,0.095466398177279,-1.02014946249052,1,D
O.fav,O.fav_6,O.fav_6-85,A,R2,2018-03-08,2.68,0.82,Of_6-85_T22,113,3.26829268292683,0.040298430696456,-1.39471186584747,1,D
O.fav,O.fav_20,O.fav_20-4,A,R2,2018-03-08,2.9,0.58,Of_20-4_T22,113,5,0.015422521861993,-1.81184460545513,1,D
O.fav,O.fav_34,O.fav_34-23,A,R2,2018-03-08,1.93,0.79,Of_34-23_T22,113,2.44303797468354,0.062012103607996,-1.20752353603172,1,D
O.fav,O.fav_6,O.fav_6-19,N,R2,2018-03-08,2.68,0.84,Of_6-19_T22,113,3.19047619047619,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-41,N,R2,2018-03-08,0.85,0.31,Of_20-41_T22,113,2.74193548387097,0.01510919820863,-1.82075858151185,1,D
O.fav,O.fav_34,O.fav_34-24,N,R2,2018-03-08,0.93,0.37,Of_34-24_T22,113,2.51351351351351,0.07072495919692,-1.15042729442675,1,D
O.fav,O.fav_6,O.fav_6-72,N+P,R2,2018-03-08,5.67,1.57,Of_6-72_T22,113,3.61146496815287,NA,NA,NA,D
O.fav,O.fav_20,O.fav_20-11,N+P,R2,2018-03-08,1.81,0.44,Of_20-11_T22,113,4.11363636363636,0.025033015720909,-1.60148682789652,1,D
O.fav,O.fav_34,O.fav_34-21,N+P,R2,2018-03-08,1.63,0.63,Of_34-21_T22,113,2.58730158730159,0.145791314946078,-0.836268346960016,1,D
S.sid,S.sid_20,S.sid_20-1,A,R1,2018-02-05,2.44,0.8018816021,Ss_20-1_T14,82,3.04284322474793,NA,NA,NA,C1
S.sid,S.sid_20,S.sid_20-2,N,R1,2018-02-05,4.8,1.4663833076,Ss_20-2_T14,82,3.27335968373512,0.055986023267982,-1.25192037969394,0,C1
S.sid,S.sid_20,S.sid_20-23,N+P,R1,2018-02-05,5.6,1.1498439126,Ss_20-23_T14,82,4.87022624430599,0.0525145318653,-1.27972050162979,0,C1
S.sid,S.sid_20,S.sid_20-36,N+P,R2,2018-02-05,5.44,1.1005721393,Ss_20-36_T14,82,4.94288362002333,0.011010468988013,-1.95819418197575,0.614466573638085,D
S.sid,S.sid_20,S.sid_20-39,N,R2,2018-02-05,3.48,1.0666557484,Ss_20-39_T14,82,3.26253339488401,0.00889987526575,-2.05061608007151,0,C1
S.sid,S.sid_20,S.sid_20-45,A,R2,2018-02-05,3.26,1.027713077,Ss_20-45_T14,82,3.17209158174407,0.023178817959558,-1.63490871534096,0,C1
S.sid,S.sid_22,S.sid_22-6,N,R1,2018-02-05,4.84,1.2800574414,Ss_22-6_T14,82,3.78108031988509,0.396747283338165,-0.401486038323041,1,D
S.sid,S.sid_22,S.sid_22-8,N,R2,2018-02-05,3.53,1.0866471427,Ss_22-8_T14,82,3.24852462339245,0.081443037456799,-1.08914603748611,1,D
S.sid,S.sid_22,S.sid_22-24,A,R2,2018-02-05,3.07,0.8681342211,Ss_22-24_T14,82,3.53631952915074,0.145147762091655,-0.838189655793299,0.977290880646816,D
S.sid,S.sid_22,S.sid_22-36,N+P,R2,2018-02-05,2.84,0.965827275,Ss_22-36_T14,82,2.94048436352142,0.020353371599388,-1.69136363824601,1,D
S.sid,S.sid_22,S.sid_22-39,N+P,R1,2018-02-05,5.46,1.4059537489,Ss_22-39_T14,82,3.88348479050028,0.289160596485905,-0.538860888053337,1,D
S.sid,S.sid_22,S.sid_22-42,A,R1,2018-02-05,2.97,0.9330050257,Ss_22-42_T14,82,3.18326259579547,0.096584306868143,-1.01509343253099,1,D
S.sid,S.sid_23,S.sid_23-54,A,R1,2018-02-05,2.93,0.953648259,Ss_23-54_T14,82,3.07241162802773,0.048838129169618,-1.31124098082202,1,D
S.sid,S.sid_23,S.sid_23-55,N,R1,2018-02-05,7.09,1.2539642434,Ss_23-55_T14,82,5.65406871632652,0.171145009166408,-0.766635760990565,0.972107880823725,D
S.sid,S.sid_23,S.sid_23-59,N+P,R1,2018-02-05,6.44,1.3091903127,Ss_23-59_T14,82,4.91907092309483,0.353667474795917,-0.451404878455438,1,D
S.sid,S.sid_23,S.sid_23-70,N,R2,2018-02-05,5.68,1.5320003455,Ss_23-70_T14,82,3.70757096542704,0.038096566987336,-1.41911415833044,1,D
S.sid,S.sid_23,S.sid_23-71,N+P,R2,2018-02-05,8.81,1.3947300104,Ss_23-71_T14,82,6.3166347137489,0.069552831818116,-1.15768518317093,1,D
S.sid,S.sid_23,S.sid_23-79,A,R2,2018-02-05,5.42,1.3781411855,Ss_23-79_T14,82,3.93283362911296,0.165612105163326,-0.780907922300556,1,D
S.sid,S.sid_24,S.sid_24-11,N+P,R1,2018-02-05,6.27,1.1841026242,Ss_24-11_T14,82,5.29514914658357,0.399347023406854,-0.398649548298734,0.020918219165861,C3
S.sid,S.sid_24,S.sid_24-12,A,R1,2018-02-05,6.64,1.3060744158,Ss_24-12_T14,82,5.08393696383131,1.15579561325397,0.062881041797426,0,C3
S.sid,S.sid_24,S.sid_24-14,N,R1,2018-02-05,6.34,1.7136693347,Ss_24-14_T14,82,3.69966356497235,0.255730485754072,-0.592217496433666,0.002707335003861,C3
S.sid,S.sid_24,S.sid_24-23,A,R2,2018-02-05,7.12,2.2914409534,Ss_24-23_T14,82,3.10721513004098,NA,NA,NA,C3
S.sid,S.sid_24,S.sid_24-27,N,R2,2018-02-05,9.78,2.2846518262,Ss_24-27_T14,82,4.28073979931848,0.102817569439804,-0.987932666870053,0.003498573460628,C3
S.sid,S.sid_24,S.sid_24-28,N+P,R2,2018-02-05,8.68,1.8543169283,Ss_24-28_T14,82,4.68096896896565,0.015629268338907,-1.80606135235911,0.184068440763256,C3
S.sid,S.sid_27,S.sid_27-12,N,R1,2018-02-05,5.25,1.4429305338,Ss_27-12_T14,82,3.63842879266958,0.392186950978474,-0.406506860470177,1,D
S.sid,S.sid_27,S.sid_27-19,A,R1,2018-02-05,3.68,0.8630249438,Ss_27-19_T14,82,4.26407142277549,0.223098077406738,-0.651504172321462,0.996859520680942,D
S.sid,S.sid_27,S.sid_27-27,N+P,R1,2018-02-05,5.53,1.5986487834,Ss_27-27_T14,82,3.45917130605687,0.104383088711868,-0.981369856449,0.96557861192431,D
S.sid,S.sid_27,S.sid_27-77,N+P,R2,2018-02-05,6.44,1.5603067325,Ss_27-77_T14,82,4.12739358605568,0.012571688763783,-1.9006063793125,1,D
S.sid,S.sid_27,S.sid_27-94,A,R2,2018-02-05,4.69,0.8191478894,Ss_27-94_T14,82,5.72546186188098,0.090614529359674,-1.04280216087923,0.983936765199119,D
S.sid,S.sid_27,S.sid_27-97,N,R2,2018-02-05,4.33,0.9958200148,Ss_27-97_T14,82,4.34817530843627,NA,NA,NA,D
S.sid,S.sid_28,S.sid_28-4,A,R2,2018-02-05,5.46,1.6844045632,Ss_28-4_T14,82,3.24150154855149,0.045439831414142,-1.3425632885656,0.164587611272244,C1
S.sid,S.sid_28,S.sid_28-6,N,R2,2018-02-05,4.23,1.8184487337,Ss_28-6_T14,82,2.32615851170751,0.109924680927857,-0.958904786308414,0.504564149865162,D
S.sid,S.sid_28,S.sid_28-8,N+P,R1,2018-02-05,3.28,0.9558014091,Ss_28-8_T14,82,3.43167520864874,0.186053677263058,-0.730361741932304,0.5570349364192,D
S.sid,S.sid_28,S.sid_28-20,N,R1,2018-02-05,3.72,1.1797237038,Ss_28-20_T14,82,3.15328071142212,0.010585019903306,-1.97530832102786,0.082156671977748,C1
S.sid,S.sid_28,S.sid_28-30,A,R1,2018-02-05,3.01,0.9361676209,Ss_28-30_T14,82,3.21523617437899,0.020028226577893,-1.69835750410296,0.023773403945359,C1
S.sid,S.sid_30,S.sid_30-1,A,R1,2018-02-05,3.8,1.529753762,Ss_30-1_T14,82,2.48405991499696,0.098823667289136,-1.00513903373052,0,C3
S.sid,S.sid_30,S.sid_30-2,N+P,R1,2018-02-05,4.02,1.6403154526,Ss_30-2_T14,82,2.45074811288771,0.509569746769207,-0.292796364034582,0,C3
S.sid,S.sid_30,S.sid_30-10,N,R1,2018-02-05,5.53,1.6035190852,Ss_30-10_T14,82,3.44866490897442,0.243361398969528,-0.613748306730426,0,C3
S.sid,S.sid_30,S.sid_30-23,A,R2,2018-02-05,3.93,1.4330114269,Ss_30-23_T14,82,2.74247638659915,0.090755207516977,-1.04212844584005,0,C3
S.sid,S.sid_30,S.sid_30-24,N,R2,2018-02-05,3.6,1.09405521,Ss_30-24_T14,82,3.29051035733379,0.277609698481885,-0.556565365581772,0,C3
S.sid,S.sid_30,S.sid_30-25,N+P,R2,2018-02-05,4.93,2.0789420689,Ss_30-25_T14,82,2.37139845008213,0.006687433228444,-2.17474054121942,0,C3
S.sid,S.sid_20,S.sid_20-8,N,R1,2018-03-08,1.1907541443,0.4558355709,Ss_20-8_T22,113,2.61224489775771,0.002161882158854,-2.66516798251696,0,C1
S.sid,S.sid_20,S.sid_20-13,A,R1,2018-03-08,0.83,0.6047069295,Ss_20-13_T22,113,1.37256571656337,0.003984773339986,-2.399596376901,0,C1
S.sid,S.sid_20,S.sid_20-17,N+P,R1,2018-03-08,1.48,0.5534101096,Ss_20-17_T22,113,2.67432772608677,0.000492667015391,-3.30744651325449,0,C1
S.sid,S.sid_20,S.sid_20-33,N,R2,2018-03-08,2.24,0.6225643024,Ss_20-33_T22,113,3.59802190932687,9.87E-05,-4.00574586677456,0,C1
S.sid,S.sid_20,S.sid_20-38,A,R2,2018-03-08,1.23,0.3125687871,Ss_20-38_T22,113,3.93513380338417,0.002058349630153,-2.68648085428229,0,C1
S.sid,S.sid_20,S.sid_20-41,N+P,R2,2018-03-08,0.88,0.2701729107,Ss_20-41_T22,113,3.25717333288515,0.002866803305103,-2.54260210350933,0,C1
S.sid,S.sid_22,S.sid_22-3,N,R1,2018-03-08,1.3,0.3985569692,Ss_22-3_T22,113,3.26176707588231,NA,NA,NA,D
S.sid,S.sid_22,S.sid_22-18,N+P,R1,2018-03-08,1.31,0.4228187034,Ss_22-18_T22,113,3.0982546170875,0.000896940817057,-3.0472362121103,0,D
S.sid,S.sid_22,S.sid_22-21,A,R1,2018-03-08,0.35,0.2009781875,Ss_22-21_T22,113,1.74148251784786,0.016767212467521,-1.77553913242072,1,D
S.sid,S.sid_22,S.sid_22-27,N,R2,2018-03-08,1.26,0.3718533382,Ss_22-27_T22,113,3.38843267106107,0.000890987122769,-3.05012857267544,0.956718641707944,D
S.sid,S.sid_22,S.sid_22-31,N+P,R2,2018-03-08,0.94,0.3495970711,Ss_22-31_T22,113,2.68880971182713,NA,NA,NA,D
S.sid,S.sid_22,S.sid_22-32,A,R2,2018-03-08,1.57,0.5241369143,Ss_22-32_T22,113,2.99540054738709,0.016144156900052,-1.79198463031333,0.974562902136697,D
S.sid,S.sid_23,S.sid_23-61,N,R1,2018-03-08,3.6,1.0654702128,Ss_23-61_T22,113,3.37878990585705,0.010090854669687,-1.99607204856888,1,D
S.sid,S.sid_23,S.sid_23-65,A,R1,2018-03-08,2.1,0.5726515502,Ss_23-65_T22,113,3.66715151520426,0.022967771939534,-1.63888113285454,1,D
S.sid,S.sid_23,S.sid_23-67,N+P,R1,2018-03-08,2.28,0.782844152,Ss_23-67_T22,113,2.91245708890471,0.028213558400894,-1.54954213552442,1,D
S.sid,S.sid_23,S.sid_23-72,A,R2,2018-03-08,0.92,0.191217748,Ss_23-72_T22,113,4.81126887866078,0.006157437721119,-2.21059997210128,0.969361431290302,D
S.sid,S.sid_23,S.sid_23-76,N,R2,2018-03-08,3.56,0.8505794702,Ss_23-76_T22,113,4.1853819951273,NA,NA,NA,D
S.sid,S.sid_23,S.sid_23-81,N+P,R2,2018-03-08,2.14,0.5772814601,Ss_23-81_T22,113,3.70703053520773,0.025730743874488,-1.58954765817692,1,D
S.sid,S.sid_24,S.sid_24-5,N+P,R1,2018-03-08,0.87,0.2399700037,Ss_24-5_T22,113,3.62545312574832,0.001591386016464,-2.79822446241127,0.405553310401765,C3
S.sid,S.sid_24,S.sid_24-6,A,R1,2018-03-08,0.14,0.1677287375,Ss_24-6_T22,113,0.834681057561767,NA,NA,NA,C3
S.sid,S.sid_24,S.sid_24-10,N,R1,2018-03-08,1.34,0.3750393123,Ss_24-10_T22,113,3.57295877006118,0.000496675794396,-3.30392700492597,0.830770248706241,D
S.sid,S.sid_24,S.sid_24-16,A,R2,2018-03-08,0.46,0.1799794309,Ss_24-16_T22,113,2.5558476193626,0.000310772701967,-3.50755713628616,0.37977784795007,C3
S.sid,S.sid_24,S.sid_24-24,N,R2,2018-03-08,0.64,0.252665608,Ss_24-24_T22,113,2.53299214351326,0.003548774044657,-2.44992165190133,0.917535589182512,D
S.sid,S.sid_24,S.sid_24-25,N+P,R2,2018-03-08,1.7,0.2737226277,Ss_24-25_T22,113,6.21066666751132,NA,NA,NA,C3
S.sid,S.sid_27,S.sid_27-5,N,R1,2018-03-08,2.48,0.8444964493,Ss_27-5_T22,113,2.93666125186869,0.004960746757119,-2.30445294284755,0.987084410177638,D
S.sid,S.sid_27,S.sid_27-6,N+P,R1,2018-03-08,2.97,0.9355983773,Ss_27-6_T22,113,3.17443902432899,0.017026067063694,-1.76888566030493,1,D
S.sid,S.sid_27,S.sid_27-9,A,R1,2018-03-08,2.21,0.4270845363,Ss_27-9_T22,113,5.1746195709779,0.005508325926071,-2.25898037057445,1,D
S.sid,S.sid_27,S.sid_27-73,A,R2,2018-03-08,1.43,0.691404369,Ss_27-73_T22,113,2.06825421434385,0.001784199420225,-2.74855660609051,1,D
S.sid,S.sid_27,S.sid_27-75,N,R2,2018-03-08,3.08,1.4142413111,Ss_27-75_T22,113,2.17784615385359,0.022099717230482,-1.65561328314869,1,D
S.sid,S.sid_27,S.sid_27-87,N+P,R2,2018-03-08,2.07,0.8784085829,Ss_27-87_T22,113,2.35653435120824,NA,NA,NA,D
S.sid,S.sid_28,S.sid_28-2,A,R1,2018-03-08,1.99,0.7757236471,Ss_28-2_T22,113,2.56534657340859,0.009581141799118,-2.01858273230894,0.929156612654542,D
S.sid,S.sid_28,S.sid_28-3,N,R1,2018-03-08,2.55,0.2360938777,Ss_28-3_T22,113,10.8007883340382,NA,NA,NA,D
S.sid,S.sid_28,S.sid_28-10,N+P,R1,2018-03-08,1.28,0.3295855379,Ss_28-10_T22,113,3.88366555206183,0.01089452621198,-1.96279165187911,0.353237458055162,C1
S.sid,S.sid_28,S.sid_28-13,N,R2,2018-03-08,2.31,0.5258261857,Ss_28-13_T22,113,4.39308665642971,0.018451362291567,-1.73397156371256,0.946680738020847,D
S.sid,S.sid_28,S.sid_28-14,N+P,R2,2018-03-08,0.87,0.166175191,Ss_28-14_T22,113,5.23543854389191,NA,NA,NA,C1
S.sid,S.sid_28,S.sid_28-29,A,R2,2018-03-08,0.98,0.1938010003,Ss_28-29_T22,113,5.05673344556003,0.000765844576654,-3.11585935876187,0.094058872786148,C1
S.sid,S.sid_30,S.sid_30-3,N+P,R1,2018-03-08,0.26,0.0912525957,Ss_30-3_T22,113,2.84923401910418,0.000117429958635,-3.93022109210044,0,C3
S.sid,S.sid_30,S.sid_30-4,A,R1,2018-03-08,0.38,0.0625522414,Ss_30-4_T22,113,6.0749222009493,0.000204184631658,-3.6899769490143,0,C3
S.sid,S.sid_30,S.sid_30-13,N,R1,2018-03-08,0.26,0.1063514939,Ss_30-13_T22,113,2.44472353387412,NA,NA,0,C3
S.sid,S.sid_30,S.sid_30-15,A,R2,2018-03-08,0.18,0.0876806046,Ss_30-15_T22,113,2.05290555215902,3.37E-06,-5.47263637081638,0,C3
S.sid,S.sid_30,S.sid_30-16,N,R2,2018-03-08,0.19,0.0917990702,Ss_30-16_T22,113,2.06973773902124,0.000580598894381,-3.23612379551878,0,C3
S.sid,S.sid_30,S.sid_30-18,N+P,R2,2018-03-08,0.3,0.0721974821,Ss_30-18_T22,113,4.15526956444926,NA,NA,0,C3
A.cer,G_48,A.cer_181,N+P,R2,2018-02-05,7.71,8.0111715305,Ac_181_T14,82,0.96240605642341,0.376714291368148,-0.423987903702776,0,A
A.cer,G_48,A.cer_290,A,R2,2018-02-05,3.13,4.5582217857,Ac_290_T14,82,0.686671282608363,0.001171475640617,-2.93126673758808,0,A
A.cer,G_07,A.cer_267,A,R1,2018-02-05,3.74,4.2097978091,Ac_267_T14,82,0.888403711911182,0.360118262904026,-0.443554853420934,0,A
A.cer,G_31,A.cer_159,N+P,R1,2018-02-05,5.37,3.2377973456,Ac_159_T14,82,1.65853493187199,0.053960318379345,-1.26792549654675,0,A
A.cer,G_07,A.cer_266,N+P,R2,2018-02-05,4.34,4.6972813065,Ac_266_T14,82,0.923938703435623,0.027834976410858,-1.55540914240585,0,A
A.cer,G_31,A.cer_158,N,R1,2018-02-05,6.12,5.1947095871,Ac_158_T14,82,1.17812168272078,0.113246837747666,-0.94597391618412,0,A
A.cer,G_31,A.cer_246,N,R2,2018-02-05,5.97,3.9171729166,Ac_246_T14,82,1.52405832652948,0.117443817252945,-0.930169841411759,0,A
A.cer,G_62,A.cer_121,N+P,R2,2018-02-05,4.58,7.8853183854,Ac_121_T14,82,0.580826261686537,0.362371819431608,-0.440845583459958,0,A
A.cer,G_07,A.cer_269,N+P,R1,2018-02-05,5.27,4.6259841604,Ac_269_T14,82,1.13921704382669,0.034447489883048,-1.46284241873918,0,A
A.cer,G_62,A.cer_216,N+P,R1,2018-02-05,NA,4.5182756796,Ac_216_T14,82,NA,0.151989405743777,-0.818186683024758,0,A
A.cer,G_48,A.cer_283,N+P,R1,2018-02-05,3.7,4.1158007916,Ac_283_T14,82,0.898974510027644,0.242077797340814,-0.616045040936396,0,A
A.cer,G_62,A.cer_223,A,R2,2018-02-05,3.28,4.8320634959,Ac_223_T14,82,0.67879902712021,0.311983723816534,-0.505868062523379,0,A
A.cer,G_62,A.cer_218,N,R2,2018-02-05,3.07,4.7375909875,Ac_218_T14,82,0.648008662651569,0.5245101770705,-0.280246080773224,0,A
A.cer,G_62,A.cer_129,A,R1,2018-02-05,3.79,4.3694013499,Ac_129_T14,82,0.867395713164857,0.394211746512861,-0.404270438986785,0,A
A.cer,G_48,A.cer_189,A,R1,2018-02-05,3.08,4.0906632557,Ac_189_T14,82,0.752934134998347,0.345568272403161,-0.461466138162941,0,A
A.cer,G_31,A.cer_149,A,R1,2018-02-05,4.12,3.1981313718,Ac_149_T14,82,1.28825227016273,0.165745622246786,-0.78055793356676,0,A
A.cer,G_48,A.cer_183,N,R1,2018-02-05,6.81,5.7894310923,Ac_183_T14,82,1.17628138092141,0.299067422469478,-0.52423089225888,0,A
A.cer,G_62,A.cer_227,N,R1,2018-02-05,6.09,5.4883695874,Ac_227_T14,82,1.10961915064561,0.126924516617725,-0.896454481897394,0,A
A.cer,G_07,A.cer_268,N,R1,2018-02-05,3.74,4.3991520531,Ac_268_T14,82,0.850163839498226,0.127984647917792,-0.892842121949426,0,A
A.cer,G_07,A.cer_270,A,R2,2018-02-05,3.91,3.6856877783,Ac_270_T14,82,1.06086034281598,0.250094055371679,-0.601896631140187,0,A
A.cer,G_48,A.cer_180,N,R2,2018-02-05,3.81,4.4775308754,Ac_180_T14,82,0.850915405392851,0.297413630067885,-0.526639132224193,0,A
A.cer,G_07,A.cer_265,N,R2,2018-02-05,5.37,4.6254665779,Ac_265_T14,82,1.16096396105364,0.186473518608773,-0.729382834303884,0,A
A.cer,G_62,A.cer_219,N+P,R2,2018-02-05,3.82,6.2426702556,Ac_219_T14,82,0.611917631973795,0.282249449210364,-0.549366896896823,0,A
A.cer,G_48,A.cer_281,A,R1,2018-03-08,1.58,1.2922416505,Ac_281_T22,113,1.22268153126674,0.035514270731426,-1.44959709892996,NA,A
A.cer,G_62,A.cer_220,A,R1,2018-03-08,2.24,1.2605652236,Ac_220_T22,113,1.77698064174963,0.038354579929499,-1.41618276941126,NA,A
A.cer,G_31,A.cer_248,A,R1,2018-03-08,1.02,0.6470608959,Ac_248_T22,113,1.576358587674,0.022421749639715,-1.64933050105301,NA,A
A.cer,G_07,A.cer_273,A,R1,2018-03-08,0.92,0.7319849325,Ac_273_T22,113,1.25685647224713,0.038248385738178,-1.41738688939391,NA,A
A.cer,G_48,A.cer_186,A,R2,2018-03-08,2.33,1.9070015626,Ac_186_T22,113,1.2218133669609,0.068918861084663,-1.16166190807736,NA,A
A.cer,G_62,A.cer_125,A,R2,2018-03-08,1.34,1.9552866039,Ac_125_T22,113,0.685321526433642,0.046376658015958,-1.33370055059933,NA,A
A.cer,G_31,A.cer_160,A,R2,2018-03-08,0.93,0.5398237836,Ac_160_T22,113,1.72278441271701,0.012753549804094,-1.89436891752349,NA,A
A.cer,G_07,A.cer_173,A,R2,2018-03-08,0.47,0.2117623604,Ac_173_T22,113,2.21946902703678,0.022782070362594,-1.64240681115274,NA,A
A.cer,G_48,A.cer_188,N+P,R2,2018-03-08,0.42,0.7802095592,Ac_188_T22,113,0.538316911203515,0.024706640634907,-1.60718630166005,NA,A
